id_building,id_property_name,id_source_plant_id,id_source_url,loc_address,loc_city,loc_lat,loc_lon,loc_state,loc_zip,bldg_sqft,bldg_type,bldg_type_benchmark,bldg_type_filter,bldg_vertical,bldg_year_built,data_year,org_manager,org_owner,org_tenant,org_tenant_subunit,energy_climate_zone,energy_elec_kbtu,energy_elec_kwh,energy_eui_benchmark,energy_fuel_oil_kbtu,energy_gas_kbtu,energy_site_eui,energy_star_score,energy_steam_kbtu,energy_total_kbtu,cost_calc_notes,cost_elec_demand_annual,cost_elec_energy_annual,cost_elec_load_factor,cost_elec_peak_kw,cost_elec_rate_demand_kw,cost_elec_rate_kwh,cost_elec_total_annual,cost_fuel_oil_annual,cost_fuel_oil_rate_mmbtu,cost_gas_annual,cost_gas_rate_therm,cost_steam_annual,cost_steam_rate_mlb,cost_utility_name,hvac_cost_total_annual,hvac_energy_total_kbtu,hvac_pct_elec,hvac_pct_fuel_oil,hvac_pct_gas,hvac_pct_method,hvac_pct_steam,carbon_emissions_total_mt,occ_utilization_rate,occ_vacancy_rate,odcv_carbon_reduction_yr1_mt,odcv_hvac_savings_annual_usd,odcv_hvac_savings_pct,bps_fine_avoided_yr1_usd,bps_law_name,savings_opex_avoided_annual_usd,savings_pct_of_energy_cost,val_cap_rate_pct,val_current_usd,val_market_rent_sqft,val_odcv_impact_usd,val_opex_ratio,val_post_odcv_usd,meta_photo_url,energy_star_score_post_odcv,bps_fine_baseline_yr1_usd,bps_fine_post_odcv_yr1_usd,energy_elec_kwh_post_odcv,energy_elec_kbtu_post_odcv,energy_gas_kbtu_post_odcv,energy_steam_kbtu_post_odcv,energy_fuel_oil_kbtu_post_odcv,energy_total_kbtu_post_odcv,cost_elec_energy_annual_post_odcv,cost_elec_demand_annual_post_odcv,cost_elec_total_annual_post_odcv,cost_gas_annual_post_odcv,cost_steam_annual_post_odcv,cost_fuel_oil_annual_post_odcv,carbon_emissions_post_odcv_mt
ATL_8,The Pinnacle,,https://realgraph.co/buildings/675-w-peachtree-st-ne-atlanta-ga,"675 W Peachtree St NE, Atlanta, GA, 30308",Atlanta,33.7731329,-84.386248,GA,30308.0,2029292.0,Office,Office,Office,Commercial,1981.0,2019.0,,,,,South-Central,72800684.02,21336660.03,52.9,,,53.0,66.0,,107552476.0,Demand: NREL,2875740.1,2981951.86,0.45,5412.65,35.0,0.127052,5857691.96,,,,,,,Georgia Power Co,3516372.48,43702250.62,0.6003,,,cbecs_adjusted,,7192.7076,0.48,0.25,1450.7749,1181501.15,0.336,0.0,,1181501.15,0.1994796892522711,0.08,366105747.5,36.0,14768764.43,0.45,380874511.93,,75.0,0.0,0.0,17033038.63,58116727.81,,,,58116727.81,2380489.79,2295701.02,4676190.81,,,,5757.9085
ATL_13,Hurt Bldg,,https://www.energystar.gov/buildings/certified_buildings_and_plants/b_1190625,"50 Hurt Plz SE, Atlanta, GA, 30303",Atlanta,33.7543349,-84.3868116,GA,30303.0,538213.0,Office,Office,Office,Commercial,1913.0,2019.0,Jones Lang LaSalle (JLL),50 Hurt LLC,,,South-Central,20373042.29,5970997.154,52.9,,,48.2,74.0,,25941866.6,Demand: NREL,804766.82,834489.84,0.45,1514.71,35.0,0.127052,1639256.66,,,,,,,Georgia Power Co,967653.21,12026206.86,0.5903,,,cbecs_adjusted,,2012.8566,0.48,0.25,376.4184,306552.54,0.3168,0.0,,306552.54,0.185236138315598,0.08,102453541.25,36.0,3831906.7,0.45,106285447.95,,81.0,0.0,0.0,4854378.65,16563139.96,,,,16563139.96,678434.37,654269.76,1332704.12,,,,1640.0028000000002
ATL_24,Symphony Tower,,https://www.google.com/maps/search/?api=1&query=1180%20Peachtree%20St%20NE%2C%20Atlanta%2C%20GA%2C%2030309,"1180 Peachtree St NE, Atlanta, GA, 30309",Atlanta,33.7869261,-84.3840996,GA,30309.0,784972.0,Office,Office,Office,Commercial,,2022.0,,Highwoods Properties,Kforce,,South-Central,24596976.51,7208961.462,52.9,,,39.9,89.0,,31320382.8,Demand: NREL,971618.78,1007504.27,0.45,1828.76,35.0,0.127052,1979123.05,,,,,,,Georgia Power Co,1029737.72,12797806.88,0.5203,,,cbecs_adjusted,,2430.1813,0.48,0.25,426.6164,347433.51,0.3374,0.0,,347433.51,0.1642066808584776,0.08,123695190.62,36.0,4342918.85,0.45,128038109.47,,92.0,0.0,0.0,5943433.9,20278996.47,,,,20278996.47,830637.68,801051.86,1631689.54,,,,2031.1293
ATL_27,,,https://www.energystar.gov/buildings/certified_buildings_and_plants/b_2246555,"75 5Th St NW, Atlanta, GA, 30308",Atlanta,33.7775217,-84.3895465,GA,30308.0,507979.0,Office,Office,Office,Commercial,2003.0,2019.0,,Collaborative Real Estate,,,South-Central,18789764.24,5506964.9,52.9,,,47.1,81.0,,23925810.9,Demand: NREL,742224.87,769637.99,0.45,1397.0,35.0,0.127052,1511862.87,,,,,,,Georgia Power Co,786622.25,9776314.33,0.5203,,,cbecs_adjusted,,1856.4287,0.48,0.25,325.8946,265406.35,0.3374,0.0,,265406.35,0.1733639625267107,0.08,94491429.38,36.0,3317579.34,0.45,97809008.72,,86.0,0.0,0.0,4540221.51,15491235.78,,,,15491235.78,634528.65,611927.88,1246456.52,,,,1534.5909
ATL_36,,,https://www.google.com/maps/search/?api=1&query=2539%20Piedmont%20Rd%20NE%2C%20Atlanta%2C%20GA%2C%2030324,"2539 Piedmont Rd NE, Atlanta, GA, 30324",Atlanta,33.8238837,-84.3633081,GA,30324.0,135871.0,Retail Store,Retail Store,Retail,Commercial,2006.0,2019.0,,Target,Target,,South-Central,6690761.119,1960949.918,51.4,,,61.5,59.0,,8356066.5,Demand: NREL,297332.39,274056.87,0.4,559.63,35.0,0.127052,571389.26,,,,,,,Georgia Power Co,337348.22,3950225.36,0.5904,,,cbecs_adjusted,,661.0472,0.38,0.07,113.8063,98370.74,0.2916,0.0,,98370.74,0.1361772018735023,0.0675,42325130.37,18.0,1457344.31,0.3,43782474.68,,67.0,0.0,0.0,1623351.53,5538875.4,,,,5538875.4,226875.06,246143.46,473018.52,,,,571.0276
ATL_42,,,https://www.google.com/maps/search/?api=1&query=2535%20Chantilly%20Dr%20NE%2C%20Atlanta%2C%20GA%2C%2030324,"2535 Chantilly Dr NE, Atlanta, GA, 30324",Atlanta,33.8236369,-84.3497714,GA,30324.0,44444.0,Hotel,Hotel,Hotel,Commercial,1990.0,2021.0,,,Wyndham,La Quinta,South-Central,1295056.607,379559.3807,63.0,,,43.9,78.0,,1951091.6,Demand: NREL,34321.53,53046.16,0.55,78.78,28.7,0.127052,87367.68,,,,,,,Georgia Power Co,39324.19,582904.98,0.4501,,,cbecs_adjusted,,127.9516,0.315,0.0,13.2229,9028.83,0.2296,0.0,,9028.83,0.0906501130494784,0.09,4853760.0,130.0,100320.39,0.65,4954080.39,,81.0,0.0,0.0,340334.59,1161221.62,,,,1161221.62,47564.21,30774.64,78338.85,,,,116.3528
ATL_45,Equitable Building Atlanta,,https://www.energystar.gov/buildings/certified_buildings_and_plants/b_1778923,"100 Peachtree St NW, Atlanta, GA, 30303",Atlanta,33.7568081,-84.388577,GA,30303.0,639914.0,Office,Office,Office,Commercial,1967.0,2021.0,Zeller,"100 Peachtree Property, LLC",W. Scott Smith,,South-Central,22313065.84,6539585.533,52.9,,,44.4,76.0,,28412181.6,Demand: NREL,881400.76,913954.16,0.45,1658.95,35.0,0.127052,1795354.92,,,,,,,Georgia Power Co,1005937.36,12502010.79,0.5603,,,cbecs_adjusted,,2204.5309,0.48,0.25,371.7948,302787.15,0.301,0.0,,302787.15,0.1670254305886364,0.08,112209682.5,36.0,3784839.32,0.45,115994521.82,,82.0,0.0,0.0,5436682.47,18549960.59,,,,18549960.59,759815.52,732752.26,1492567.78,,,,1836.3182
ATL_47,,,https://www.google.com/maps/search/?api=1&query=230%20Peachtree%20St%20NW%2C%20Atlanta%2C%20GA%2C%2030303,"230 Peachtree St NW, Atlanta, GA, 30303",Atlanta,33.760211,-84.3880503,GA,30303.0,539180.0,Office,Office,Office,Commercial,1966.0,2019.0,,,,,South-Central,20364934.63,5968620.935,52.9,,,55.8,60.0,,30086244.0,Demand: NREL,804446.55,834157.75,0.45,1514.11,35.0,0.127052,1638604.3,,,,,,,Georgia Power Co,1016426.25,12632368.95,0.6203,,,cbecs_adjusted,,2012.0555,0.48,0.25,395.3911,322003.84,0.3168,0.0,,322003.84,0.1946501422093703,0.08,102412768.75,36.0,4025047.94,0.45,106437816.69,,70.0,0.0,0.0,4795721.03,16363000.15,,,,16363000.15,670236.54,646363.92,1316600.47,,,,1620.4086
ATL_49,,,https://www.energystar.gov/buildings/certified_buildings_and_plants/b_1867777,"30 Ivan Allen Jr Blvd NW, Atlanta, GA, 30308",Atlanta,33.764322,-84.3882896,GA,30308.0,324872.0,Office,Office,Office,Commercial,2005.0,2019.0,Avison Young,"Forward One Atlanta, LLC",Southern Company,,South-Central,12842222.09,3763840.003,52.9,,,58.4,74.0,,18972524.8,Demand: NREL,507287.72,526023.74,0.45,954.8,35.0,0.127052,1033311.46,,,,,,,Georgia Power Co,599630.64,7452341.48,0.5803,,,cbecs_adjusted,,1268.8115,0.48,0.25,275.6675,224501.71,0.3744,0.0,,224501.71,0.2142467604783244,0.08,64581966.25,36.0,2806271.4,0.45,67388237.65,,82.0,0.0,0.0,2946091.86,10052065.44,,,,10052065.44,411737.55,397072.2,808809.75,,,,996.9727
ATL_52,Atlantic Center Plaza,,https://www.energystar.gov/buildings/certified_buildings_and_plants/b_35530321,"271 17Th St NW, Atlanta, GA, 30363",Atlanta,33.7916808,-84.3956996,GA,30363.0,571720.0,Office,Office,Office,Commercial,,2022.0,Cushman & Wakefield,Lionstone Investments,,,South-Central,22793642.21,6680434.411,52.9,,,58.9,77.0,,33674308.0,Demand: NREL,900384.27,933638.81,0.45,1694.68,35.0,0.127052,1834023.08,,,,,,,Georgia Power Co,1009262.9,12543341.31,0.5503,,,cbecs_adjusted,,2252.0119,0.48,0.25,418.1338,340525.3,0.3374,0.0,,340525.3,0.1736746788559792,0.08,114626442.5,36.0,4256566.28,0.45,118883008.78,,83.0,0.0,0.0,5440070.0,18561518.85,,,,18561518.85,760288.95,733208.83,1493497.78,,,,1860.8945
