organization,row_count,logo_file,classification,acronym_needed,display_name,aws_logo_url,search_aliases,logo_filename,vertical,org_type,logo_url
Marriott,530,Marriott.png,tenant,,Marriott,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Marriott.png,Courtyard|Fairfield|JW Marriott|Marriott|Marriott Hotels|Marriott International|Residence Inn|Ritz Carlton|Sheraton|SpringHill|St Regis|TownePlace|W Hotels|Westin,,,,
Hilton,348,Hilton.png,tenant,,Hilton,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Hilton.png,Conrad|Curio|DoubleTree|Embassy Suites|Hampton|Hampton Inn|Hilton|Hilton Garden|Hilton Hotels|Home2|Homewood|LXR|Tapestry|Tru|Waldorf,,,,
City Of New York,178,City_Of_New_York.png,owner,,NYC Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/City_Of_New_York.png,Big Apple|Gotham|Manhattan|New York|new york|new york city|New York City|NY|NY City|NYC|The City,,,,
CBRE Group (CBRE),294,CBRE_Group_CBRE.png,property manager,,CBRE,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/CBRE_Group_CBRE.png,CB Richard Ellis|CBRE|CBRE Real Estate|cbre real estate|Commercial Real Estate,,,,
Target,306,Target.png,owner/occupier,,Target,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Target.png,Bullseye|Tar-jay|Target|TGT,,,,
Cushman & Wakefield,272,Cushman_Wakefield.png,property manager,,Cushman & Wakefield,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Cushman_Wakefield.png,C&W|Cushman|Cushman Wakefield|CW,,,,
Walmart,286,Walmart.png,owner/occupier,,Walmart,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Walmart.png,Sam's Club|Sams|Wal Mart|Wal-Mart|Walmart|WMT,,,,
Albertsons Companies,190,Albertsons_Companies.png,tenant,,Albertsons,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Albertsons_Companies.png,ACI|Acme|Albertsons|albertsons|Jewel-Osco|Pavilions|Randalls|Safeway|Shaw's|Tom Thumb|Vons,,,,
The Home Depot,233,The_Home_Depot.png,tenant,,Home Depot,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/The_Home_Depot.png,HD|Home Depot|home depot|THD,,,,
Chicago Public Schools,214,Chicago_Public_Schools.png,owner,,Chicago Public Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Chicago_Public_Schools.png,Chicago Public|Chicago Schools|chicago schools|CPS,,,,
General Services Administration (GSA),206,General_Services_Administration_GSA.png,owner/occupier,,GSA Federal,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/General_Services_Administration_GSA.png,Fed|Federal|General Services|Government|GSA|GSA Federal|gsa federal,,,,
Jones Lang LaSalle (JLL),191,Jones_Lang_LaSalle_JLL.png,property manager,,JLL Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Jones_Lang_LaSalle_JLL.png,JL LaSalle|JLL|jll real estate|JLL Real Estate|Jones Lang|Jones LaSalle,,,,
District Of Columbia Public Schools,189,District_Of_Columbia_Public_Schools.png,owner,,DC Public Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/District_Of_Columbia_Public_Schools.png,Capitol|DC|DC Public Schools|dc public schools|DC Schools|DCPS|District|district of columbia schools|DMV|Federal|The District|Washington|Washington DC|Washington Schools|WDC,,,,
The Irvine Company,166,The_Irvine_Company.png,owner/operator,,Irvine Company,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/The_Irvine_Company.png,irvine|Irvine|Irvine Company|TIC,,,,
Kaiser Permanente,162,Kaiser_Permanente.png,owner/occupier,,Kaiser Permanente,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kaiser_Permanente.png,Kaiser|Kaiser Permanente|KP,,,,
Harvard University,167,Harvard_University.png,owner/occupier,,Harvard,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Harvard_University.png,Cambridge|Crimson|harvard|Harvard|HU|hu,,,,
Hines,140,Hines.png,owner/operator,,Hines Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Hines.png,Hines|Hines Interests,,,,
Costco,148,Costco.png,owner/occupier,,Costco,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Costco.png,COST|Costco|Costco Wholesale,,,,
District Of Columbia,94,District_Of_Columbia.png,owner,,DC Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/District_Of_Columbia.png,Capitol|DC|DC Police|DC Public Schools|DC Schools|DCPS|District|DMV|Federal|Metro Police|MPD|The District|Washington|washington dc|Washington DC|Washington Police|Washington Schools|WDC,,,,
Newmark,134,Newmark.png,property manager,,Newmark Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Newmark.png,Newmark|Newmark Knight Frank|NKF|NMK,,,,
