organization,row_count,logo_file,classification,acronym_needed,display_name,aws_logo_url,search_aliases,logo_filename,vertical,org_type,logo_url,org_url
Marriott,530,Marriott.png,tenant,,Marriott,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Marriott.png,Courtyard|Fairfield|JW Marriott|Marriott|Marriott Hotels|Marriott International|Residence Inn|Ritz Carlton|Sheraton|SpringHill|St Regis|TownePlace|W Hotels|Westin,,,,,https://www.marriott.com
Hilton,348,Hilton.png,tenant,,Hilton,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Hilton.png,Conrad|Curio|DoubleTree|Embassy Suites|Hampton|Hampton Inn|Hilton|Hilton Garden|Hilton Hotels|Home2|Homewood|LXR|Tapestry|Tru|Waldorf,,,,,https://www.hilton.com
City Of New York,178,City_Of_New_York.png,owner,,NYC Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/City_Of_New_York.png,Big Apple|Gotham|Manhattan|New York|new york|new york city|New York City|NY|NY City|NYC|The City,,,,,https://www.nyc.gov
CBRE Group (CBRE),294,CBRE_Group_CBRE.png,property manager,,CBRE,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/CBRE_Group_CBRE.png,CB Richard Ellis|CBRE|CBRE Real Estate|cbre real estate|Commercial Real Estate,,,,,https://www.cbre.com
Target,306,Target.png,owner/occupier,,Target,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Target.png,Bullseye|Tar-jay|Target|TGT,,,,,https://www.target.com
Cushman & Wakefield,272,Cushman_Wakefield.png,property manager,,Cushman & Wakefield,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Cushman_Wakefield.png,C&W|Cushman|Cushman Wakefield|CW,,,,,https://www.cushmanwakefield.com
Walmart,286,Walmart.png,owner/occupier,,Walmart,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Walmart.png,Sam's Club|Sams|Wal Mart|Wal-Mart|Walmart|WMT,,,,,https://www.walmart.com
Albertsons Companies,190,Albertsons_Companies.png,tenant,,Albertsons,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Albertsons_Companies.png,ACI|Acme|Albertsons|albertsons|Jewel-Osco|Pavilions|Randalls|Safeway|Shaw's|Tom Thumb|Vons,,,,,https://www.albertsonscompanies.com
The Home Depot,233,The_Home_Depot.png,tenant,,Home Depot,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/The_Home_Depot.png,HD|Home Depot|home depot|THD,,,,,https://www.homedepot.com
Chicago Public Schools,214,Chicago_Public_Schools.png,owner,,Chicago Public Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Chicago_Public_Schools.png,Chicago Public|Chicago Schools|chicago schools|CPS,,,,,https://www.cps.edu
General Services Administration (GSA),206,General_Services_Administration_GSA.png,owner/occupier,,GSA Federal,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/General_Services_Administration_GSA.png,Fed|Federal|General Services|Government|GSA|GSA Federal|gsa federal,,,,,https://www.gsa.gov
Jones Lang LaSalle (JLL),191,Jones_Lang_LaSalle_JLL.png,property manager,,JLL Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Jones_Lang_LaSalle_JLL.png,JL LaSalle|JLL|jll real estate|JLL Real Estate|Jones Lang|Jones LaSalle,,,,,https://www.jll.com
