"Building ID",Street,City,"Gross Floor Area","Reporting Year","Compliance Status"
"Building #0003-0-00","161 nortech parkway","san jose",71800,2025,"in compliance"
"Building #0008-0-00","170 baytech drive","san jose",150000,2025,"in compliance"
"Building #0008-1-00","180 baytech drive","san jose",74012,2025,"in compliance"
"Building #0009-0-00","150 baytech drive","san jose",150000,2025,"in compliance"
"Building #0010-0-00","4435 fortran drive","san jose",77500,2025,"in compliance"
"Building #0010/001","2801 leavenworth street","san francisco",133675,2025,"in compliance"
"Building #0010/002","495 jefferson street","san francisco",180000,2025,"in compliance"
"Building #0011-0-00","4425 fortran drive","san jose",76319,2025,"in compliance"
"Building #0011/007","2800 leavenworth street","san francisco",121408,2025,"in compliance"
"Building #0011/008","500 beach street","san francisco",198525,2025,"not submitted"
"Building #0012-0-00","4415 fortran drive","san jose",76567,2025,"in compliance"
"Building #0013-0-00","4405 fortran court","san jose",66000,2025,"in compliance"
"Building #0013/005","2720 taylor street","san francisco",39068,2025,"in compliance"
"Building #0013/016","145 jefferson street","san francisco",121481,2025,"in compliance"
"Building #0013-1-00","110 baytech drive","san jose",55976,2025,"in compliance"
"Building #0013-2-00","120 baytech drive","san jose",132265,2025,"not submitted"
"Building #0014-0-00","2160 gold st",alviso,62950,2025,"in compliance"
"Building #0014/001","250 beach street","san francisco",283951,2025,"in compliance"
"Building #0016-0-00","2131 gold street",alviso,54439,2025,"in compliance"
"Building #0017-0-00","2100 gold street","san jose",302649,2025,"in compliance"
"Building #0018-0-00","2130 gold street","san jose",52142,2025,"in compliance"
"Building #0018/001","1 beach street","san francisco",104424,2025,"not submitted"
"Building #0018/004","2340 stockton street","san francisco",64530,2025,"not submitted"
"Building #0018/005","100 north point street","san francisco",60000,2025,"in compliance"
"Building #0019-0-00","2150 gold street","san jose",52214,2025,"in compliance"
"Building #0020/001","2500 mason street","san francisco",405000,2025,"in compliance"
"Building #0021-0-00","110 nortech parkway","san jose",52040,2025,"not submitted"
"Building #0021/001","400 north point street","san francisco",51656,2025,"not submitted"
"Building #0022-0-00","4300 north first street","san jose",188000,2025,"not submitted"
"Building #0022/010","2700 jones street","san francisco",126250,2025,"in compliance"
"Building #0022/015","550 north point street","san francisco",164550,2025,"in compliance"
"Building #0023-0-00","4400 north first street","san jose",188000,2025,"not submitted"
"Building #0023/005","1300 columbus avenue","san francisco",249352,2025,"in compliance"
"Building #0024-0-00","4315 north first street","san jose",105720,2025,"in compliance"
"Building #0024/025","655 beach street","san francisco",132748,2025,"in compliance"
"Building #0025-0-00","4453 north first street","san jose",187660,2025,"in compliance"
"Building #0026-0-00","4353 north first street","san jose",181042,2025,"in compliance"
"Building #0027-0-00","5093 disk drive","san jose",332633,2025,"in compliance"
"Building #0028-0-00","5087 disk drive","san jose",321262,2025,"in compliance"
"Building #0028/016","1250 columbus avenue","san francisco",204331,2025,"in compliance"
"Building #0029-0-00","5079 disk drive","san jose",232960,2025,"in compliance"
"Building #0029/003","2620 jones street","san francisco",135560,2025,"in compliance"
"Building #0029/007","555 north point street","san francisco",283765,2025,"in compliance"
"Building #0029-1-00","4550 north first street","san jose",83051,2025,"not submitted"
"Building #0030-0-00","4500 north first street","san jose",83000,2025,"not submitted"
"Building #0030/001","425 north point street","san francisco",125085,2025,"not submitted"
"Building #0030/008","2552 taylor street","san francisco",75416,2025,"not submitted"
"Building #0030-1-00","656 america center court","san jose",166340,2025,"in compliance"
"Building #0031-0-00","510 america center court","san jose",92684,2025,"pending revisions"
"Building #0031/007","360 bay street","san francisco",222307,2025,"in compliance"
"Building #0031/008","2351 powell street","san francisco",164167,2025,"in compliance"
"Building #0032-0-00","6001 america center drive","san jose",212863,2025,"pending revisions"
"Building #0032/001","240 bay street","san francisco",200650,2025,"in compliance"
"Building #0032/002","260 bay street","san francisco",217647,2025,"in compliance"
"Building #0033-0-00","6220 america center drive","santa clara",220761,2025,"in compliance"
"Building #0033/003","160 bay street","san francisco",199963,2025,"in compliance"
"Building #0034-0-00","6280 america center drive","santa clara",220761,2025,"in compliance"
"Building #0035-0-00","6201 america center drive",alviso,209212,2025,"pending revisions"
"Building #0036-0-00","1601 dixon landing road",milpitas,99050,2025,"not submitted"
"Building #0037-0-00","1900 lakewood drive","san jose",113629,2025,"in compliance"
"Building #0037/001","50 francisco street","san francisco",130469,2025,"in compliance"
"Building #0037/004","80 francisco street","san francisco",166700,2025,"not submitted"
"Building #0038/001A","150 francisco street","san francisco",87870,2025,"in compliance"
"Building #0039-0-00","2155 morrill avenue","san jose",108268,2025,"in compliance"
"Building #0040/001","2133 stockton street","san francisco",76576,2025,"in compliance"
"Building #0040/018","227 bay street","san francisco",50212,2025,"in compliance"
"Building #0042/022","401 bay street","san francisco",351326,2025,"in compliance"
"Building #0045-0-00","450 holger way","san jose",93210,2025,"not submitted"
"Building #0046-0-00","400 holger way","san jose",76410,2025,"not submitted"
"Building #0047-0-00","350 holger way","san jose",96502,2025,"in compliance"
"Building #0047/002B","1000 chestnut street","san francisco",106786,2025,"not submitted"
"Building #0047/005","1090 chestnut street","san francisco",132856,2025,"not submitted"
"Building #0047/006","1080 chestnut street","san francisco",217738,2025,"in compliance"
"Building #0048-0-00","300 holger way","san jose",101194,2025,"in compliance"
"Building #0049-0-00","250 holger way","san jose",77209,2025,"in compliance"
"Building #0050-0-00","200 holger way","san jose",96640,2025,"in compliance"
"Building #0051-0-00","3103 north first street","san jose",97912,2025,"in compliance"
"Building #0051/037","600 chestnut street","san francisco",68062,2025,"in compliance"
"Building #0051/081","650 chestnut street","san francisco",54396,2025,"in compliance"
"Building #0051/117","690 chestnut street","san francisco",59325,2025,"in compliance"
"Building #0052-0-00","160 rio robles","san jose",424997,2025,"in compliance"
"Building #0052/001","2155 powell street","san francisco",64168,2025,"not submitted"
"Building #0052/041","530 chestnut street","san francisco",162444,2025,"not submitted"
"Building #0054-0-00","3545 north first street","san jose",79838,2025,"in compliance"
"Building #0054-0-04","90 rio robles","san jose",54074,2025,"in compliance"
"Building #0054-0-05","110 rio robles","san jose",87608,2025,"in compliance"
"Building #0055-0-00","251 brandon street","san jose",289052,2025,"in compliance"
"Building #0056-0-00","3101 north first street","san jose",95030,2025,"in compliance"
"Building #0056/007","55 francisco street","san francisco",258612,2025,"in compliance"
"Building #0057-0-00","3477 lily way","san jose",153782,2025,"in compliance"
"Building #0057/001","1700 montgomery street","san francisco",142446,2025,"in compliance"
"Building #0058-0-00","250 brandon street","san jose",236048,2025,"in compliance"
"Building #0059-0-00","55 river oaks place","san jose",415641,2025,"in compliance"
"Building #0059/005","150 lombard street","san francisco",306134,2025,"in compliance"
"Building #0060-0-00","52 skytop street","san jose",346621,2025,"in compliance"
"Building #0060/026","200 lombard street","san francisco",289201,2025,"in compliance"
"Building #0061-0-00","3473 north first street","san jose",319309,2025,"in compliance"
"Building #0063-0-00","90 east tasman drive","san jose",96154,2025,"in compliance"
"Building #0064-0-00","3550 north first street","san jose",76690,2025,"not submitted"
"Building #0065-0-00","210 baypointe parkway","san jose",67984,2025,"not submitted"
"Building #0065/015","901 columbus avenue","san francisco",99333,2025,"not submitted"
"Building #0065/027","960 columbus avenue","san francisco",51580,2025,"not submitted"
"Building #0066-0-00","3590 north first street","san jose",84035,2025,"in compliance"
"Building #0067-0-00","160 east tasman drive","san jose",109243,2025,"in compliance"
"Building #0068-0-00","91 east tasman drive","san jose",84049,2025,"in compliance"
"Building #0069-0-00","121 east tasman drive","san jose",180278,2025,"in compliance"
"Building #0069/027","1150 lombard street","san francisco",109584,2025,"not submitted"
"Building #0071-0-00","25 rio robles","san jose",168399,2025,"in compliance"
"Building #0072-0-00","65 rio robles east","san jose",264925,2025,"in compliance"
"Building #0072/008","2200 leavenworth street","san francisco",52027,2025,"in compliance"
"Building #0073-0-00","85 rio robles east","san jose",288847,2025,"in compliance"
"Building #0074-0-00","80 descanso drive","san jose",289591,2025,"in compliance"
"Building #0074/042","2140 taylor street","san francisco",85032,2025,"in compliance"
"Building #0075-0-00","60 descanso drive","san jose",264853,2025,"in compliance"
"Building #0076-0-00","20 descanso drive","san jose",289753,2025,"in compliance"
"Building #0077-0-00","178 east tasman drive","san jose",112043,2025,"not submitted"
"Building #0078-0-00","135 rio robles east","san jose",296986,2025,"in compliance"
"Building #0078-0-01","185 estancia drive","san jose",243007,2025,"in compliance"
"Building #0079-0-00","180 alicante drive","san jose",106722,2025,"in compliance"
"Building #0079-0-01","130 descanso drive","san jose",340673,2025,"in compliance"
"Building #0080-0-00","3507 palmilla drive","san jose",448311,2025,"in compliance"
"Building #0080-0-01","3500 palmilla drive","san jose",93578,2025,"in compliance"
"Building #0080/011","1425 sansome street","san francisco",470714,2025,"in compliance"
"Building #0081-0-00","175 baypointe parkway","san jose",201600,2025,"in compliance"
"Building #008100010","lombard street","san francisco",130247,2025,"not submitted"
"Building #0081/001","1 lombard street","san francisco",120983,2025,"in compliance"
"Building #0082-0-00","152 river oaks parkway","san jose",100024,2025,"in compliance"
"Building #0083-0-00","3300 north first street","san jose",177103,2025,"in compliance"
"Building #0084-0-00","3200 north first street","san jose",85017,2025,"not submitted"
"Building #0084/008","1265 battery street","san francisco",94111,2025,"in compliance"
"Building #0084/009","1255 battery street","san francisco",153493,2025,"in compliance"
"Building #0085-0-00","101 innovation drive","san jose",106462,2025,"in compliance"
"Building #0085-0-01","131 innovation drive","san jose",127890,2025,"in compliance"
"Building #0085/048","1355 sansome street","san francisco",67930,2025,"in compliance"
"Building #0085-1-00","121 innovation drive","san jose",128740,2025,"in compliance"
"Building #0086-0-00","197 innovation drive","san jose",259714,2025,"in compliance"
"Building #0087-0-00","190 river oaks parkway","san jose",141998,2025,"in compliance"
"Building #0088-0-00","3137 zanker road","san jose",200000,2025,"in compliance"
"Building #0089-0-00","3100 north first street","san jose",96549,2025,"not submitted"
"Building #0090-0-00","110 holger way","san jose",135167,2025,"in compliance"
"Building #0091-0-00","120 holger way","san jose",227663,2025,"in compliance"
"Building #0092-0-00","130 holger way","san jose",236040,2025,"in compliance"
"Building #0092-1-00","95 headquarters drive","san jose",125323,2025,"in compliance"
"Building #0093-0-00","75 headquarters drive","san jose",118348,2025,"in compliance"
"Building #0094/001","1101 greenwich street","san francisco",56703,2025,"not submitted"
"Building #0095-0-00","95 holger way","san jose",137954,2025,"in compliance"
