Reporting ID,Data Year,MapLot,Compliance Status,BEUDO Category,BEUDO Property Type,PD Parcel Living Area,PD Parcel Units,Address,Year Built,Buildings Included,Buildings Included Count,Primary Property Type - Self Selected,All Property Uses,Property GFA - Self Reported (ft2),Reported Residential Units,Owner,Owner Line 2,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft2),Grid Electricity Emissions Factor (Metric Tons CO2e per Million Btus),Grid Electricity Emissions (Metric Tons CO2e),Natural Gas Emissions Factor (Metric Tons CO2e per Million Btus),Natural Gas Emissions (Metric Tons CO2e),Fuel Oil #1 Emissions Factor (Metric Tons CO2e per Million Btus),Fuel Oil #1 Emissions (Metric Tons CO2e),Fuel Oil #2 Emissions Factor (Metric Tons CO2e per Million Btus),Fuel Oil #2 Emissions (Metric Tons CO2e),Fuel Oil #4 Emissions Factor (Metric Tons CO2e per Million Btus),Fuel Oil #4 Emissions (Metric Tons CO2e),Fuel Oil #5 or #6 Emissions Factor (Metric Tons CO2e per Million Btus),Fuel Oil #5 or #6 Emissions (Metric Tons CO2e),Diesel Emissions Factor (Metric Tons CO2e per Million Btus),Diesel Emissions (Metric Tons CO2e),Kerosene Emissions Factor (Metric Tons CO2e per Million Btus),Kerosene Emissions (Metric Tons CO2e),District Steam Emissions Factor (Metric Tons CO2e per Million Btus),District Steam Emissions (Metric Tons CO2e),District Chilled Water Emissions Factor (Metric Tons CO2e per Million Btus),District Chilled Water Emissions (Metric Tons CO2e),Latitude,Longitude,Coordinates
B1017,2015,71-56,Compliant,Non-Residential,Technology/Science,978455,0,610 Main Street,2016,658-3,1,Laboratory,"Restaurant (N/A),Laboratory (278970.0)",278738,,"MIT 650 MAIN STREET, LLC",,,,,,,,,,,,,,,,,,,,,,,,0,2202.4,,0.0767,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3626,-71.0941,POINT (-71.0941417949938 42.3625856183887)
B1173,2015,157-69,Compliant,Non-Residential,Technology/Science,1462119,18,11 Oxford St,1931,266-9,1,Laboratory,Laboratory (47424.0),51360,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,556386.2,1898389.9,,,,,,,,,,1663777.2,,3562167.1,3534273.7,75.1,74.5,7317084,7283527.2,154.3,153.6,256.0247,437.3,9.22,0.0767,145.5524,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,110.4723,0.0575,0,42.3775,-71.1171,POINT (-71.1171467528995 42.3775288216797)
B1385,2015,185-58,Compliant,Non-Residential,Education,90180,,1 Matignon Rd.,1949,"2-10, 2-11, 2-9",3,K-12 School,K-12 School (96508.0),96508,,ARCHDIOCESE CENTRAL HIGH SCHOOL INC.,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0767,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.4015,-71.1317,POINT (-71.1317433603848 42.4015177701713)
B1414,2015,63-134,Compliant,Non-Residential,Other,368003,201,575 Memorial Drive,1976,"750-2, 750-5",2,Hotel,Hotel (347000.0),347000,,HRB MA HOLDINGS LLC,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0767,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3541,-71.1055,POINT (-71.1055467679064 42.3541342705191)
B1665,2015,267F-283,Compliant,Non-Residential,Office,34482,1,77 Fawcett Street,1973,78-4,1,Office,Office (34842.0),34842,,"CV PORTFOLIO WEST CAMBRIDGE, LLC,",C/O RAYTHEON BBN TECHNOLOGIES,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0767,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3917,-71.1466,POINT (-71.1466182699249 42.3916548808831)
B1406,2016,242B-56,Non-Compliant,Non-Residential,Education,109553,,178 Coolidge Hill,1930,387-22,1,K-12 School,K-12 School (1766.0),1766,,SHADY HILL SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0749,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3719,-71.1378,POINT (-71.1377545950617 42.37194154156)
B1519,2016,121-114,Non-Compliant,Residential,Other,87557,72,613-619 Green Street,,489-19,1,,,,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0749,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3689,-71.1117,POINT (-71.1116891018412 42.3688629714814)
B1552,2016,170-4,Non-Compliant,Non-Residential,House of Worship,40360,,11 Garden Street,1872,290-8,1,Worship Facility,Worship Facility (5000.0),5000,,FIRST CHURCH IN CAMBRIDGE CONGREGATIONAL,,,128291.6,437730.9,,,,,,,,,,,,,,,,,,,,32.8025,,,0.0749,32.8025,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3766,-71.123,POINT (-71.123018585677 42.3766250647634)
B1577,2016,85-76,Non-Compliant,Non-Residential,Office,34806,,141 + 143 Hampshire st,1950,385-50,1,Office,Office,2616,,"NORSHIRE LLC,",,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0749,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3711,-71.0971,POINT (-71.0970792716148 42.3711125719179)
B1593,2016,135-23,Compliant,Residential,Residential,38994,65,383 Harvard Street,1893,"366-1, 366-3",2,Multifamily Housing,Multifamily Housing (N/A),38994,,"MOSKOW, ABRAHAM &",MICHAEL B MOSKOW TRUSTEES OF,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0749,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.372,-71.1131,POINT (-71.1130665100088 42.3720164916793)
