"Benchmarking ID","Building Address","Building City","Building State","Building Zip","Building Name","Primary Type","Gross Floor Area","Submission Status #7","X Coordinate","Y Coordinate","Owner Company","Compliance Required","Submission Year","Energy Star Score","Weather Normalized Site EUI (kBtu/ft^2)","Direct GHG Emissions (Metric Tons CO2e)","Indirect GHG Emissions (Metric Tons CO2e)","Weather Normalized Source EUI (kBtu/ft^2)","Indoor Water Use (All Water Sources) (kgal)","Outdoor Water Use (All Water Sources) (kgal)","Water Use (All Water Sources) (kgal)"
"01-CM-01210","1500 W 12th St","Kansas City","Missouri","64,101","Restaurant Depot","Wholesale Club/Supercenter","54,900","submitted","39.1006108","-94.6035757","Jmdh Real Estate Of Kansas City LLC","By Ordinance","2,023","1","156.9","97.3","876.5","382.50","261.8","Not Available","523.5"
"01-CM-01410","1420 W 13th Ter","Kansas City","Missouri","64,101",,,"91,941","submitted","39.0991397","-94.6019031","Group Real Estate Development LLC","By Ordinance","2,023","Not Available","10.2","19","68.3","21.70","0","Not Available","0"
"06-IS-01140","1117 E 9th St","Kansas City","Missouri","64,106","Mark One",,"113,773","noSubmittal","39.1029938","-94.5690143","Carojoto LLC","Not Applicable","2,023","0","0","0","0","0.00","0","0","0"
"01-IN-00710","750 Wyoming St","Kansas City","Missouri","64,101","K C West Bottoms","Distribution Center","97,128","submitted","39.1076716","-94.6058202","NPIF2 WYOMING PROPERTIES LLC","By Ordinance","2,023","12","43.3","0","534","121.30","Not Available","Not Available","152,258.1"
"01-IN-00720","751 Wyoming St","Kansas City","Missouri","64,101","Fern Expo","Non-Refrigerated Warehouse","112,500","submitted","39.1064744","-94.6032392","Exeter 751 Wyoming LLC","By Ordinance","2,023","75","28.8","135.7","111.2","43.80","201.9","Not Available","201.9"
"01-IN-00830","1100 W 8th St","Kansas City","Missouri","64,101","Faultless Brands","Non-Refrigerated Warehouse","106,785","submitted","39.1057798","-94.5961419","Faultless Starch Co","By Ordinance","2,023","Not Available","16.5","44.7","117.7","32.40","31.8","Not Available","31.8"
"01-IN-00945","925 Wyoming St","Kansas City","Missouri","64,101","Wyoming","Multifamily Housing","107,092","submitted","39.1031596","-94.6039247","WEST BOTTOM FLATS LLC","By Ordinance","2,023","85","39.9","65.3","409.2","92.60","1725","Not Available","1,725"
"01-IN-00970","1515 W 9th St","Kansas City","Missouri","64,101","Abernathy","Multifamily Housing","62,280","submitted","39.1041107","-94.6034811","WEST BOTTOM FLATS LLC","By Ordinance","2,023","89","37.9","37.2","374.6","93.30","1774.4","Not Available","1,774.4"
"01-IN-01260","1222 W 12th St","Kansas City","Missouri","64,101",,,"90,275","submitted","39.1010222","-94.5994616","Group Real Estate Development LLC","By Ordinance","2,023","Not Available","11.6","37.8","60","20.70","56.3","Not Available","56.3"
"01-IN-01420","1405 Saint Louis Ave","Kansas City","Missouri","64,101","1405 St. Louis Ave","Manufacturing/Industrial Plant","112,347","submitted","39.1032001","-94.601868","Cook Bros Realty Inc","By Ordinance","2,023","Not Available","30","118.2","168.3","51.70","Not Available","Not Available","63.1"
"01-MF-00912","912 Liberty St","Kansas City","Missouri","64,101","Liberty","Multifamily Housing","70,560","submitted","39.1033224","-94.6023735","WEST BOTTOM FLATS LLC","By Ordinance","2,023","86","42.6","37.5","245.3","99.20","963.6","Not Available","963.6"
"02-IN-01310","1300 W 13th St","Kansas City","Missouri","64,102",,,"147,420","submitted","39.0998472","-94.60118","Group Real Estate Development LLC","By Ordinance","2,023","Not Available","17.2","91.4","131.8","29.70","126.8","Not Available","126.8"
"02-IN-01340","1401 W 13th St","Kansas City","Missouri","64,102",,,"94,234","submitted","39.0995252","-94.6018189","Group Real Estate Development LLC","By Ordinance","2,023","Not Available","30.9","86","148.4","55.70","367.9","Not Available","367.9"
"02-IS-01410","1414 Genessee St","Kansas City","Missouri","64,102","1414 Genessee","Mixed Use Property","65,694","submitted","39.0973685","-94.6069813","Carojoto LLC","By Ordinance","2,023","91","32.3","0","606.7","90.30","1632.2","Not Available","1,632.2"
"05-CM-00710","706 Broadway Blvd","Kansas City","Missouri","64,105","700 Broadway HOA","Multifamily Housing","50,474","submitted","39.1052364","-94.5884802","Embassy Properties, Inc.","By Ordinance","2,023","85","32","0","215.4","89.50","0","Not Available","430.6"
