X,Y,objectid,y_lat,x_lon,id,portfolio_manager_id,property_name,street_address,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,electric_use_kbtu,natural_gas_use_kbtu,fuel_oil_02_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,source_eui_kbtuft2,weather_norm_site_eui_kbtuft2,weather_norm_source_eui_kbtuf,total_ghg_emissions_mtco2e,water_use_all_kgal,water_score,estar_certified,compliance_type,benchmarking_status,data_year,point_x,point_y,philadelphia_building_id
-8366114.41834627,4858936.34333765,1,39.95175702,-75.15407937,128727,,,801 MARKET ST,19107,,,,94774,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2696184.61935988,235981.77369531,883013516
-8367195.64638414,4859748.71167566,2,39.95735105,-75.16379216,96748,,,225-31 N 15TH ST,19102,,,,106776,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2693403.0399493,237938.81899381,772028502
-8372119.56043868,4857987.37270284,3,,,113596,,,4306-24 WOODLAND AVE,19104,,,,229142,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2681135.52872322,233162.19403264,773503005
-8353224.26220636,4876311.17638182,4,,,96395,,,8900 E ROOSEVELT BLVD,19115,,,,132047,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2727296.95214821,280484.67419064,886668100
-8375389.52291874,4865375.3282156,5,39.99609026,-75.23740204,97433,0,,5500 CITY AVE,19131,,0,,252350,0,0,,0,0,0,0,0,0,0,0,0,No,Required Compliance,Complied,2023,,,774502000
-8369923.94618464,4859474.23038533,6,,,97278,3762535,13-Nesbitt,3201-47 Market Street,19104,,1970,College/University,79193,4408822.6,0,,,,,,,,,1433,,no,Required Compliance,Complied,2023,2686555.24458981,237050.3722799,774528000
-8369830.41059483,4859230.56543682,7,,,97171,,,3200-60 CHESTNUT ST,19104,,,,131534,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2686808.43634063,236446.23667714,774517051
-8370444.63454723,4876439.32689612,8,,,97975,5920982,Pathmark,7700-80 CRITTENDEN ST,19118,1,,,,,,,,,,,,,,,,no,Voluntary Compliance,Voluntarily Complied,2023,2684013.54363647,279514.1849899,
-8360932.30633288,4864950.72491447,9,39.99316134,-75.10752768,95705,,,2095 E WILLARD ST,19134,,,,88732,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2708778.82907955,251445.00687639,884843600
-8357678.67911818,4869386.70745704,10,40.02368358,-75.07829995,97491,,,5208 FRANKFORD AVE,19124,,,,130812,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2716628.09422089,262805.06388064,875102240
-8363382.47209297,4869044.02831644,11,40.02132639,-75.12953785,97682,,,200 W WYOMING AVE,19140,,,,258665,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2702310.16025838,261516.79316323,875104640
-8365993.16484456,4863369.01479946,12,39.98227504,-75.15299005,97759,4426032,Science Education and Research Center (SERC),1935 N 12TH ST,19122,1,,,,,,,,,,,,,,,,no,Voluntary Compliance,Voluntarily Complied,2023,2696162.98488872,247103.15171498,
-8367601.57858935,4858919.50187035,13,39.95164107,-75.16743871,129331,,,1601 CHESTNUT ST,19192,,,,198396,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2692442.03760622,235829.74578415,883031920
-8346893.47843753,4876284.79503251,14,,,97197,3884927,Torresdale Medical Building,10810 KNIGHTS RD,19154,1,,,,,,,,,,,,,,,,no,Voluntary Compliance,Voluntarily Complied,2023,2743207.45510405,280912.41119605,778017200
-8371537.93164928,4859510.53392734,15,,,97168,3582170,4025 Chestnut (ALI),4023-27 CHESTNUT ST,19104,,1968,Office,53340,2973509.9,2433822.4,,,24,94.8,190.8,102.9,199.3,396.5,729,,no,Required Compliance,Complied,2023,2682489.70285214,237023.84510198,773081005
-8367186.03762871,4858710.79014952,16,,,96655,4428195,121 S. Broad (NAB),115-21 S BROAD ST,19107,,1900,Office,158080,9251303.6,307.8,,,46,64.3,180.2,68.3,191.4,831.4,734.4,,no,Required Compliance,Complied,2023,2693503.46625763,235337.01776698,883024500
-8369599.17845098,4862639.32937904,17,39.97725234,-75.18538333,97867,,,3000 MASTER ST,19121,,,,55900,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2687142.28901939,245008.95314747,884070336
-8355773.27269466,4872897.75080963,18,40.04783202,-75.06118346,96931,,,2240 COTTMAN AVE,,1,,,,,,,,,,,,,,,,no,Voluntary Compliance,Voluntarily Complied,2023,2721151.79416297,271743.36522973,786082800
-8369599.17845098,4862639.32937904,19,39.97725234,-75.18538333,95614,,,3000 MASTER ST,19121,,,,53426,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2687142.28901939,245008.95314747,881070344
-8366293.63254703,4862808.76961917,20,,,97550,3983813,Weiss Hall,1701-11 N 13TH ST,19122,,1973,College/University,247920,8129011.5,0,,16282435.4,,191.5,300.2,206.9,317.5,2139.9,1016.2,,no,Required Compliance,Complied,2023,2695448.18415298,245676.69918731,777568900
-8366573.81438448,4862653.42510397,21,,,96257,,,1603-45 N BROAD ST,19122,,,,285615,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2694754.55529089,245266.61404948,881299120
-8359878.42989476,4866537.32121835,22,40.00407965,-75.09806056,97216,,,3800 JASPER ST,19124,,,,81355,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2711310.79809697,255500.08636464,884847405
-8366847.9794293,4866242.19281513,23,40.00204903,-75.16066891,96688,,,1900 W ALLEGHENY AVE,19132,,,,59850,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2693800.84656839,254240.20535423,886653901
-8369218.72376188,4869847.22691999,24,40.0268518,-75.18196567,98054,,,5515 WISSAHICKON AVE,19144,,,,104679,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2687574.36623922,263097.41303347,881062500
-8367422.49234024,4858380.32904948,25,39.94792804,-75.16582997,96003,4979554,(PA3537) Academy House COA (1420 Locust Street),1420 Locust Street,19102,1,1977,Multifamily Housing,,22942806.6,13676500.3,,,60,44.1,94.6,47.8,102.2,2788.1,,,no,Voluntary Compliance,Voluntarily Complied,2023,2692932.44968314,234490.92300248,772732000
-8367526.08399261,4858494.15170599,26,39.9487119,-75.16676054,96534,5036358,Chelsea Condo,1515 Locust Street,19102,1,1950,Multifamily Housing,,2521648.8,787369,,,,60.2,143.4,64.2,147.7,268.4,715.2,,no,Voluntary Compliance,Voluntarily Complied,2023,2692663.29864664,234768.71542589,888035710
-8367323.12641996,4858896.77860701,27,39.95148459,-75.16493734,96050,6451263,The Residence's At The Ritz Carlton Philadelphia,1414 South Penn Square,19102,1,2008,Multifamily Housing,,18987954,237756.7,,,46,37.3,103.5,37.3,103.6,1679.1,125.2,100,no,Voluntary Compliance,Voluntarily Complied,2023,2693144.69138464,235793.2822744,888094900
-8367462.88572059,4858756.72341248,28,39.95052011,-75.16619282,179006,4135023,Interpark 15th and Samson,114 South 15th Street,19102,,1950,Parking,62118,556883.8,,,,,126.6,354.4,126.6,354.4,48.9,25.4,,no,Required Compliance,Complied,2023,2692803.13366881,235431.7905433,883425500
-8357227.97067862,4870317.9903957,29,,,97601,,,6000 N PENN ST,19149,,,,106600,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2717690.79091439,265171.94792639,875106460
