bbl,utility_savings_annual,utility_savings_2026,ll97_avoidance_2026,utility_savings_2027,ll97_avoidance_2027,utility_savings_2028,ll97_avoidance_2028,utility_savings_2029,ll97_avoidance_2029,utility_savings_2030,ll97_avoidance_2030,utility_savings_2031,ll97_avoidance_2031,utility_savings_2032,ll97_avoidance_2032,utility_savings_2033,ll97_avoidance_2033,utility_savings_2034,ll97_avoidance_2034,utility_savings_2035,ll97_avoidance_2035,total_1yr,total_5yr,total_10yr,square_footage,carbon_limit_2024_tCO2e,carbon_limit_2030_tCO2e,total_carbon_emissions_2024_tCO2e,total_carbon_emissions_2030_tCO2e,total_elec_kBtu,total_gas_kBtu,total_steam_kBtu,elec_emissions_tCO2e,gas_emissions_tCO2e,steam_emissions_tCO2e,compliance_2024_status,compliance_2030_status,delta_2024_tCO2e,delta_2030_tCO2e,baseline_penalty_2024,baseline_penalty_2030,penalty_after_odcv_2024,penalty_after_odcv_2030
1007027501,3519762.03,3519762.03,2062002.29,3519762.03,2062002.29,3519762.03,2062002.29,3519762.03,2062002.29,3519762.03,1819364.00,3519762.03,1819364.00,3519762.03,1819364.00,3519762.03,1819364.00,3519762.03,1819364.00,3519762.03,1819364.00,5581764.33,27666183.34,54361813.53,398666,3021.8883,1072.7512,33424.8559,27616.2889,137667096.69,409825659.41,0.00,11659.0,21765.8,0.0,Non-Compliant,Non-Compliant,30402.9676,26543.5377,8147995.32,7113668.10,6085993.03,5294304.10
1002160001,3649643.15,3649643.15,2034122.57,3649643.15,2034122.57,3649643.15,2034122.57,3649643.15,2034122.57,3649643.15,1800830.08,3649643.15,1800830.08,3649643.15,1800830.08,3649643.15,1800830.08,3649643.15,1800830.08,3649643.15,1800830.08,5683765.73,28185536.14,55437902.32,2354289,17845.5106,6335.0433,43229.6510,32473.4997,254928301.17,407452346.10,0.00,21589.9,21639.8,0.0,Non-Compliant,Non-Compliant,25384.1404,26138.4565,6802949.62,7005106.34,4768827.05,5204276.25
1009950033,1287826.40,1287826.40,708769.81,1287826.40,708769.81,1287826.40,708769.81,1287826.40,708769.81,1287826.40,634196.56,1287826.40,634196.56,1287826.40,634196.56,1287826.40,634196.56,1287826.40,634196.56,1287826.40,634196.56,1996596.21,9908407.79,19518522.61,2212675,16772.0765,5953.9809,24967.0326,21150.5868,90348417.10,323883529.90,2536796.20,7651.6,17201.5,114.0,Non-Compliant,Non-Compliant,8194.9561,15196.6059,2196248.22,4072690.37,1487478.42,3438493.81
1007390001,2051742.73,2051742.73,700647.96,2051742.73,700647.96,2051742.73,700647.96,2051742.73,700647.96,2051742.73,395147.21,2051742.73,395147.21,2051742.73,395147.21,2051742.73,395147.21,2051742.73,395147.21,2051742.73,395147.21,2752390.70,13456452.73,25690902.46,2161994,16387.9145,5817.6059,44547.8820,23169.7948,505287277.60,4402590.00,33859835.20,42792.7,233.8,1521.3,Non-Compliant,Non-Compliant,28159.9675,17352.1889,7546871.29,4650386.64,6846223.33,4255239.42
1007830070,1538901.09,1538901.09,0.00,1538901.09,0.00,1538901.09,0.00,1538901.09,0.00,1538901.09,857986.26,1538901.09,857986.26,1538901.09,857986.26,1538901.09,857986.26,1538901.09,857986.26,1538901.09,857986.26,1538901.09,8552491.70,20536928.44,2336771,17712.7242,6287.9049,16425.2202,15715.6475,14823435.50,244490380.10,48629881.20,1255.4,12984.9,2184.9,Compliant,Non-Compliant,-1287.5040,9427.7426,0.00,2526635.02,0.00,1668648.76
1012770027,1255603.13,1255603.13,293681.33,1255603.13,293681.33,1255603.13,293681.33,1255603.13,293681.33,1255603.13,613833.25,1255603.13,613833.25,1255603.13,613833.25,1255603.13,613833.25,1255603.13,613833.25,1255603.13,613833.25,1549284.46,8066574.23,17413756.12,1678135,12720.2633,4515.6129,13816.0892,11027.2303,66097904.90,154740407.09,0.00,5597.8,8218.3,0.0,Non-Compliant,Non-Compliant,1095.8259,6511.6173,293681.33,1745113.45,0.00,1131280.20
1012809010,2505759.60,2505759.60,0.00,2505759.60,0.00,2505759.60,0.00,2505759.60,0.00,2505759.60,694450.27,2505759.60,694450.27,2505759.60,694450.27,2505759.60,694450.27,2505759.60,694450.27,2505759.60,694450.27,2505759.60,13223248.27,29224297.60,3078513,23335.1285,8283.8229,18670.4105,13254.4921,120837631.40,3625669.50,183488138.80,10233.7,192.6,8244.1,Compliant,Non-Compliant,-4664.7181,4970.6692,0.00,1332139.35,0.00,637689.08
1009947501,1218932.36,1218932.36,402494.15,1218932.36,402494.15,1218932.36,402494.15,1218932.36,402494.15,1218932.36,322158.87,1218932.36,322158.87,1218932.36,322158.87,1218932.36,322158.87,1218932.36,322158.87,1218932.36,322158.87,1621426.51,8026797.26,15732253.42,1041794,7896.7985,2803.3135,9650.1740,6503.4047,71463127.32,3423527.00,76032585.00,6052.2,181.8,3416.1,Non-Compliant,Non-Compliant,1753.3754,3700.0912,469904.62,991624.44,67410.47,669465.56
1010850001,1254027.55,1254027.55,418050.41,1254027.55,418050.41,1254027.55,418050.41,1254027.55,418050.41,1254027.55,288996.76,1254027.55,288996.76,1254027.55,288996.76,1254027.55,288996.76,1254027.55,288996.76,1254027.55,288996.76,1672077.95,8231336.12,15946457.65,491870,3728.3746,1323.5494,15428.4958,9149.5761,146054763.61,653600.00,67313981.30,12369.4,34.7,3024.4,Non-Compliant,Non-Compliant,11700.1212,7826.0267,3135632.49,2097375.16,2717582.08,1808378.40
1001440040,1393665.30,1393665.30,455748.57,1393665.30,455748.57,1393665.30,455748.57,1393665.30,455748.57,1393665.30,228692.85,1393665.30,228692.85,1393665.30,228692.85,1393665.30,228692.85,1393665.30,228692.85,1393665.30,228692.85,1849413.87,9020013.63,17131804.36,802000,6079.1600,2158.0633,25332.6645,12711.8319,299122553.75,0.00,0.00,25332.7,0.0,0.0,Non-Compliant,Non-Compliant,19253.5045,10553.7686,5159939.21,2828409.97,4704190.64,2599717.12
