bbl,tenant,floor,sf_occupied,move_in_date
1007990012,[solidcore],GRND,"2,105",1-July
1005110006,& Other Stories,GRND,10980,9/1/01
1005120023,& Other Stories,GRND,"10,980",14-Sep
1012770002,& Other Stories,GRND,"3,093",22-Mar
1008320017,101 Studios,12th,"8,288",1-Oct
1010030005,11 North Partners,1st,"1,000",24-Jan
1007080031,1100 Architect,1st,"10,589",25-Aug
1005650015,1100 Architects,15th,"7,563",1-Nov
1012610016,120 80 MKTG,3rd,"8,995",1-Nov
1000780004,123 Market,GRND,"6,500",21-Mar
1008110016,131 West 35th Street Realty,7th,"3,000",13-Sep
1007120001,14th Street Garage,GRND,500,22-Sep
1008600045,16 Handles,12th,"2,000",1-Feb
1008410049,17 Capital,29th,16298,1/1/26
1008680016,1800 Accountant,10th,5796,10/1/16
1000240029,1Life Healthcare,45th,5335,3/1/15
1008610049,1st Responders Children's,7th,1000,1/1/18
1008510035,1stDibs,10th,"13,671",24-Feb
1007540078,1West,6th,"1,000",24-Jun
1006920023,2 Way interactive,7th,"5,763",25-Jul
1012810059,20 East Medical,2nd,"2,600",1-Jun
1007880037,209 GROUP INC.,4th,"4,603",18-Mar
1008820085,21 Grams,GRND,500,22-Sep
1010280033,21C Media Group,6th,"2,519",14-Jan
1007760059,236 West 27 Llc Enterprises,1st,"1,850",1-Jul
1008250012,23rd Street Dental Associates,12th,"4,594",1-May
1005630031,25madison,7th,"9,943",1-Nov
1004730001,260 Sample Sale,GRND,"5,500",9/1/01
1002330026,260 Sample Sale,GRND,"6,046",23-Apr
1008580078,261 5th Ave,GRND,500,25-Jun
1007870001,265 W 37 Owner,GRND,500,24-Jan
1008690016,270 MarketPlace,GRND,"6,368",23-May
1012750014,286 Madison Dental,5th,2786,8/1/13
1010150029,2nd Stage,5th,12150,11/1/17
1008590072,300 Entertainment,4th,7500,5/1/18
1008510035,300 Park Ave So,GRND,500,25-May
1008140052,32 Degrees,"11th, 20th","14,625",15-Jul
1007780020,33 Across,9th,"12,786",1-Oct
1012780020,335 Madison Avenue,GRND,500,25-May
1007990028,343 Labs,9th,3000,10/1/21
1008370056,34th Street Chiropractic,6th,1750,8/1/15
1007850011,34th Street Partnership,GRND,"1,268",22-Oct
1012780001,360T,"38th, 39th",10316,1-July
1000210004,365 Data Centers,3rd,"16,695",1-Feb
1012910038,3650 Capital,7th,1971,10/18/25
1008390070,38 Food Hall,GRND,1000,7/1/25
1009270055,380 Second,GRND,"1,000",20-Oct
1008260019,3Arts Entertainment,3rd,"2,870",16-Aug
1008340019,3d Training Institute,2nd,2563,8/19/25
1004830017,3Degrees,2nd,500,24-Jan
1007940017,3doodler,GRND,1066,6/20/25
1007870059,3g Trimmings,GRND,500,22-Jun
1008950001,4 Points Capital,GRND,500,25-Aug
1012900037,410 Park Avenue Associates,1st,5000,6/20/25
1012840052,425 Madison Associates,GRND,500,25-Jun
1008410049,452 Fifth Owners,1st,4707,4/12/25
1008220015,4th Row Films,10th,3000,4/1/03
1007800013,4th Row Films,1st,1750,21-Jun
1008330018,5 Bar Karaoke Lounge,5th,"3,500",16-Jul
1010350001,5 Napkin Burger,8th,"3,350",11-Oct
1008220009,5 Point Physical Therapy,6th,"2,056",14-Feb
1007870025,5 Star Mailing Services,16th,"7,000",24-Aug
1007860001,520 Henny,GRND,"4,000",25-Nov
1008010024,54D NYC,1st,6900,10/1/22
