bbl,Height Roof
1014350044,19.0
1012720066,25.0
1012730001,93.0
1012750008,4.0
1012750069,68.0
1008680072,17.0
1012780001,61.0
1012600024,150.0
1009970029,43.0
1012750027,1.0
1012990022,1.0
1012840007,38.0
1013030001,16.0
1013010023,30.0
1013320001,221.0
1013120041,144.0
1013750021,40.0
1013750049,34.0
1012930069,55.0
1013740049,34.0
1013750016,42.0
1013740014,33.0
1012940046,2.0
1012880001,1.0
1012910038,21.0
1012910028,25.0
1012930035,2.0
1012930026,12.0
1012920052,31.0
1012920048,19.0
1013110001,53.0
1012920037,62.0
1012690001,0.0
1012680021,5.0
1012670022,8.0
1013130005,29.0
1013120015,41.0
1013090032,35.0
1013100041,42.0
1013120024,12.0
1010280029,103.0
1010100021,80.0
1012730012,2.0
1008400071,30.0
1007860051,1.0
1009930001,26.0
1009960029,44.0
1009940001,70.0
1009980024,29.0
1009930055,1.0
1013220001,61.0
1013230047,64.0
1013260001,29.0
1013060001,30.0
1013050040,13.0
1012700071,32.0
1013940001,44.0
1013090023,40.0
1012910021,1.0
1012900001,23.0
1012910001,15.0
1012900003,4.0
1012900006,45.0
1012710038,73.0
1012720034,18.0
1012870028,37.0
1012880007,30.0
1012890028,1.0
1012890052,31.0
1012890021,86.0
1008830001,16.0
1008860001,28.0
1008030021,57.0
1008060006,52.0
1008360026,81.0
1008360033,41.0
1008370058,18.0
1008380015,13.0
1013180038,21.0
1012960001,40.0
1012950020,38.0
1013160030,22.0
1007790017,14.0
1013000001,1.0
1013030033,80.0
1012840056,22.0
1012830069,2.0
1012870021,39.0
1013040033,56.0
1013010001,35.0
1013070014,45.0
1007600012,74.0
1008330038,18.0
1013290001,55.0
1009930029,95.0
1008340049,133.0
1008370036,11.0
1007850067,37.0
1007850041,10.0
1007880078,123.0
1007860068,42.0
1013170021,4.0
1008550037,159.0
1008590024,17.0
1008600001,116.0
1008290068,13.0
1013160012,1.0
1007630024,137.0
1008630060,94.0
1009400012,26.0
1008000068,21.0
1007600063,48.0
1008500001,26.0
1008490016,31.0
1008220052,12.0
1008220015,62.0
1008210032,19.0
1008220062,19.0
1008440001,13.0
1002330026,12.0
1005770039,66.0
1008430045,18.0
1007660061,8.0
1008710003,151.0
1008710060,13.0
1008710070,12.0
1005650015,180.0
1004970001,35.0
1005630046,1.0
1008190037,7.0
1008510035,14.0
1008470040,20.0
1008260026,13.0
1008240015,38.0
1010120023,16.0
1007620019,155.0
1007890021,84.0
1008110051,35.0
1007840064,35.0
1010540041,2.0
1011020018,12.0
1008320001,154.0
1008080040,82.0
1008040001,29.0
1008300062,81.0
1008280033,63.0
1008010055,19.0
1008020056,19.0
1008020008,24.0
1007790057,65.0
1007780020,10.0
1007800071,15.0
1007790075,1.0
1007800013,20.0
1005120015,15.0
1005110008,101.0
1008570076,73.0
1008330057,17.0
1008330011,55.0
1008290036,11.0
1009960001,69.0
1010140033,2.0
1007870076,27.0
1007840077,42.0
1008110010,114.0
1012790057,2.0
1012810059,35.0
1012630038,14.0
1012620056,92.0
1012620048,123.0
1007630049,1.0
1010250043,2.0
1012750001,8.0
1012750023,11.0
1008410018,43.0
1012780014,214.0
1012780069,29.0
1010430013,14.0
1008390009,19.0
1008380072,62.0
1008120069,29.0
1008110016,0.0
1007890030,22.0
1008390070,40.0
1008680025,38.0
1012750012,14.0
1008410049,17.0
1012630007,210.0
1012610016,13.0
1012630051,60.0
1012630071,39.0
1012630067,56.0
1008690034,65.0
1008680010,19.0
1012950017,37.0
1012950058,131.0
1012950023,30.0
1012950033,23.0
1002210030,23.0
1000130027,12.0
1001190001,1.0
1001500038,19.0
1001530001,5.0
1001240004,64.0
1005780047,14.0
1000860001,4.0
1000460009,71.0
1000240029,0.0
1000220020,55.0
1000220017,51.0
1000220028,22.0
1000210001,102.0
1000210004,170.0
1000500001,53.0
1000200004,87.0
1000200016,60.0
1000220024,66.0
1000200009,71.0
1000460001,17.0
1005770034,6.0
1007990012,6.0
1004730001,9.0
1013250001,34.0
1012870033,2.0
1007280060,15.0
1007310001,50.0
1008610064,19.0
1008330018,114.0
1008330006,54.0
1008620013,13.0
1008610003,17.0
1008380012,17.0
1008360010,12.0
1008380076,28.0
1008110031,111.0
1007080031,16.0
1005100038,1.0
1001220001,1.0
1006920023,13.0
1008010024,13.0
1008000025,1.0
1005320015,42.0
1006020068,26.0
1006010047,9.0
1006020036,9.0
1006030028,11.0
1008220058,13.0
1008230024,49.0
1008250012,64.0
1008240028,23.0
1008230029,17.0
1008220049,12.0
1007600032,20.0
1007610033,58.0
1007870072,18.0
1007130001,167.0
1006460001,9.0
1007120029,10.0
1006460019,8.0
1007580082,33.0
1007790066,57.0
1007590031,11.0
1007590045,35.0
1007830070,451.0
1007860013,15.0
1007860076,29.0
1007840041,252.0
1007840068,44.0
1007840051,18.0
1007850018,17.0
1008590048,16.0
1008600049,12.0
1008610047,13.0
1002120018,3.0
1000290036,4.0
1008590052,6.0
1005480009,4.0
1005970012,14.0
1005970055,11.0
1005990064,6.0
1008030067,76.0
1008040044,12.0
1008020075,14.0
1008030004,194.0
1008720013,1.0
1004980009,2.0
1008730067,52.0
1008760001,17.0
1008480043,13.0
1008880027,5.0
1008870082,16.0
1008150014,79.0
1007050001,32.0
1008630027,60.0
1008620026,12.0
1008650014,35.0
1008660001,61.0
1008040011,12.0
1008050039,15.0
1008120019,23.0
1008110062,49.0
1008120016,34.0
1008110056,23.0
1008800084,16.0
1008790081,25.0
1008870095,78.0
1007620050,12.0
1007890075,61.0
1012620001,61.0
1012630005,62.0
1009970041,66.0
1009990009,2.0
1009990029,50.0
1008260057,28.0
1008260069,13.0
1007790041,19.0
1008010001,50.0
1008010008,11.0
1007850037,24.0
1007890036,30.0
1008360043,73.0
1008340019,59.0
1008630006,22.0
1008610022,24.0
1008610072,13.0
1008610001,171.0
1008610075,44.0
1008570024,2.0
1008560058,60.0
1008560009,35.0
1008590072,11.0
1008580022,24.0
1005640007,11.0
1007800007,32.0
1007800010,38.0
1007750058,1983.0
1008220070,51.0
1007950028,8.0
1008420042,10.0
1005770071,6.0
1005220001,1.0
1008410008,51.0
1008130055,303.0
1008140046,97.0
1012980023,42.0
1013150001,92.0
1013160001,50.0
1013170001,57.0
1013160023,1.0
1008690020,59.0
1008680016,26.0
1008690066,86.0
1008400058,1.0
1008390019,13.0
1008390060,20.0
1008370056,12.0
1008690064,22.0
1008400028,19.0
1008690054,87.0
1008680008,28.0
1012760004,2.0
1012770014,70.0
1008400031,1.0
1005440001,25.0
1012610036,2.0
1000390012,70.0
1000770008,46.0
1000920024,10.0
1005810063,33.0
1000100023,41.0
1000290070,96.0
1000290073,0.0
1000250001,88.0
1000930001,24.0
1008160037,4.0
1007390001,133.0
1008780001,2.0
1008510041,52.0
1008190039,4.0
1008780065,15.0
1008490031,16.0
1013280001,10.0
1006720001,264.0
1006970056,3.0
1007540078,51.0
1013180001,35.0
1013190047,20.0
1013210001,65.0
1013010033,65.0
1000880010,26.0
1000880001,12.0
1000650007,52.0
1001940042,171.0
1008260046,50.0
1008280035,31.0
1000430001,45.0
1000670023,7.0
1000640012,92.0
1000640015,75.0
1000670001,57.0
1000100014,29.0
1001660027,9.0
1001540023,6.0
1012830017,70.0
1013050013,17.0
1013050060,50.0
1012860043,2.0
1012850021,102.0
1009980012,85.0
1009990003,84.0
1012810069,21.0
1012630034,2.0
1012790069,41.0
1008000065,8.0
1013000033,8.0
1012770027,5.0
1012790001,75.0
1008050019,45.0
1008050003,72.0
1008070028,10.0
1008060058,47.0
1008070001,78.0
1007610037,40.0
1007880004,27.0
1007890014,23.0
1007880073,45.0
1007620033,41.0
1010160036,1.0
1009950005,2.0
1012600042,58.0
1009950033,48.0
1012610019,12.0
1012610030,22.0
1012620054,72.0
1012620024,31.0
1012630059,42.0
1012630014,74.0
1016340065,4.0
1000090014,96.0
1000330001,35.0
1010250025,36.0
1010280033,95.0
1010090005,103.0
1012670041,67.0
1012670034,27.0
1010030029,48.0
1012710071,87.0
1010240015,1.0
1010040020,48.0
1010080037,1.0
1010070029,50.0
1010260032,50.0
1010290053,26.0
1010270020,53.0
1010400029,23.0
1011130051,7.0
1010240038,82.0
1013210022,27.0
1011130008,13.0
1007610053,72.0
1010040029,77.0
1010030005,52.0
1004260029,22.0
1008620045,10.0
1008590015,13.0
1008600045,41.0
1008590064,23.0
1008630029,30.0
1008620016,47.0
1009030047,77.0
1017750033,2.0
1019510004,3.0
1019090012,7.0
1017740001,15.0
1016080069,7.0
1016340003,5.0
1017230010,31.0
1014220005,1.0
1008810029,10.0
1008810001,23.0
1008800014,18.0
1008830088,19.0
1001250020,246.15
1000130005,126.0
1000220013,49.0
1000400014,27.0
1000430002,1.0
1000480001,78.0
1000490002,100.0
1000660001,0.0
1001480010,3.0
1001510032,31.0
1001550003,3.0
1006460027,49.0
1002310035,5.0
1002320001,6.0
1008200026,20.0
1008200038,11.0
1008210014,15.0
1008210038,23.0
1008210041,25.0
1008210055,56.0
1008220031,52.0
1008230073,15.0
1008280009,12.0
1008290011,12.0
1008290016,15.0
1008290032,11.0
1008380048,12.0
1008440003,55.0
1008440042,10.0
1008460026,6.0
1008490063,39.0
1008500012,42.0
1008560024,32.0
1008580006,13.0
1008660076,17.0
1004740030,5.0
1004820016,15.0
1004840024,9.0
1010150029,201.0
1004860011,25.0
1010210019,24.0
1004960040,10.0
1004980011,6.0
1004990007,112.0
1005000011,16.0
1005110001,93.0
1005110006,13.0
1005110012,96.0
1005220012,81.0
1005230046,13.0
1005230048,12.0
1005300001,3.0
1005310020,4.0
1005440008,7.0
1005540001,27.0
1005630031,15.0
1005640034,12.0
1006090007,13.0
1012680001,1.0
1012840002,10.0
1012910010,7.0
1012940037,13.0
1013350005,1.0
1013740060,46.0
1013910014,29.0
1001550001,1.0
1001530024,46.0
1000940025,1.0
1001680032,10.0
