bbl,total_gross_floor_area,total_building_energy_kBtu,building_eui_kBtu_sf_year,benchmark
1000050010,1016406.0,50402492.201900005,49.58893611598122,5% below avg
1000090001,692431.0,50234873.6004,72.54856238441087,38% above avg
1000090014,575860.0,30270665.803307272,52.566015704003185,0% above avg
1000090029,835356.0,72722757.1965,87.05600629731516,66% above avg
1000100014,365792.0,24458065.99766904,66.86331575777776,28% above avg
1000100016,336025.0,18566087.0995,55.252100586265904,5% above avg
1000100023,321994.0,20444567.8005,63.49362969651609,21% above avg
1000110021,361710.0,20118810.4002,55.62138287633739,6% above avg
1000130001,230911.0,8167240.2,35.36964544781323,33% below avg
1000130005,434220.0,22469339.90062104,51.74644166694542,1% below avg
1000130027,809401.0,78076731.4998,96.46236105440936,84% above avg
1000160120,1501878.0,100303636.9004,66.78547585116767,27% above avg
1000160125,2267925.0,184434046.701,81.3228156579252,55% above avg
1000160140,2233692.0,119229687.401,53.37785487032232,2% above avg
1000160150,2084079.0,143037206.5,68.63329389145038,31% above avg
1000160225,502000.0,59267307.39830001,118.06236533525896,125% above avg
1000160260,2157862.0,183257467.4987,84.92548063717697,62% above avg
1000200001,300954.0,16750914.200619996,55.659383828159775,6% above avg
1000200004,447442.0,26700028.69966,59.67260270528918,14% above avg
1000200009,394763.0,22874701.404092297,57.94540370828142,11% above avg
1000200016,354072.0,22132195.49973,62.50761285763912,19% above avg
1000210001,709506.0,28864147.201316,40.682033980425814,22% below avg
1000210004,335184.0,36443708.3954,108.727470271254,107% above avg
1000220013,200000.0,21574184.2007,107.8709210035,106% above avg
1000220017,145494.0,34615437.09550001,237.9165951551267,354% above avg
1000220020,405244.0,23529290.500200003,58.062032997897575,11% above avg
1000220024,300676.0,8753939.2,29.11419335098245,44% below avg
1000220028,345540.0,14981589.2002,43.35703305029808,17% below avg
1000230019,240279.0,85287127.19980001,354.9504001589819,577% above avg
1000240001,1072213.0,70948483.2992,66.17013904811823,26% above avg
1000240029,370000.0,15652978.400275,42.30534702777027,19% below avg
1000240036,205940.0,10678279.59984,51.85141108983199,1% below avg
1000250001,406025.0,30681938.500199996,75.5666239768487,44% above avg
1000250027,239071.0,16395367.89996,68.57949270283723,31% above avg
1000280012,95325.0,8427722.90025,88.4104159480724,69% above avg
1000290001,1007569.0,57503600.5024,57.07162536997466,9% above avg
1000290036,105000.0,5358060.89996,51.029151428190474,3% below avg
1000290070,671172.0,58821352.304,87.6397589649151,67% above avg
1000290073,97596.0,8636236.31159,88.48965440786506,69% above avg
1000330001,546882.0,43354426.099999994,79.27565014024962,51% above avg
1000350001,973587.0,75866392.0998,77.92461495459574,49% above avg
1000350010,990250.0,17881244.499900002,18.057303206160064,66% below avg
1000370023,1079361.0,42302594.5995,39.192257826158254,25% below avg
1000380001,463664.0,18490344.8048,39.87875876669312,24% below avg
1000380017,664990.0,61052063.0037,91.80899412577634,75% above avg
1000390012,1049691.0,73735049.9002,70.24452900920366,34% above avg
1000400003,1625483.0,17680493.700099997,10.877070815320735,79% below avg
1000400014,313918.0,19999499.39952528,63.70931071020229,22% above avg
1000420031,527605.0,21573579.599769108,40.88964206133208,22% below avg
1000430001,289049.0,13816283.6002,47.79910534269276,9% below avg
1000430002,1061286.0,62366390.9013,58.76492378237346,12% above avg
1000430005,108663.0,9462671.30024,87.08273561598705,66% above avg
1000440001,2224200.0,175936064.203,79.10082915340348,51% above avg
1000460001,173159.0,9870151.30004423,57.00050993621024,9% above avg
1000460003,364390.0,16395233.0,44.99364142814018,14% below avg
1000460009,1087770.0,107531396.4006,98.8549016801346,89% above avg
1000480001,1272119.0,53629049.700399995,42.15725863728157,20% below avg
1000490002,450000.0,25594179.299828343,56.87595399961854,9% above avg
1000500001,400000.0,24458745.4007376,61.146863501844,17% above avg
1000510001,400294.0,15419302.4004,38.51994384227593,26% below avg
1000510007,281121.0,13028714.2,46.34557432564625,12% below avg
1000627501,1690747.0,78153578.40100001,46.22428926444939,12% below avg
1000630003,647875.0,49690697.4957,76.69797028084122,46% above avg
1000640012,276000.0,11275867.3,40.85459166666667,22% below avg
1000640015,150000.0,6024720.69994,40.16480466626666,23% below avg
1000650007,144200.0,5920739.6000422,41.05922052733842,22% below avg
1000660001,640000.0,93249977.6987,145.70309015421876,178% above avg
1000670001,1073000.0,93569585.49979998,87.20371435209691,66% above avg
1000670023,558327.0,30275182.6044,54.22482273721314,3% above avg
1000680007,155450.0,14164806.599999998,91.12130331296235,74% above avg
1000680011,155026.0,7858038.300221,50.68851870151458,3% below avg
1000680036,377120.0,48398512.299600005,128.33716668328384,145% above avg
1000700043,143300.0,3180038.7002399997,22.191477321981857,58% below avg
1000717501,462377.0,17573141.0997,38.0060883212184,27% below avg
1000747501,744146.0,40663477.798,54.64448884761861,4% above avg
1000750021,234553.0,8311934.3,35.437339535201,32% below avg
