bbl,Data Center_sqft,Data Center Electricity Use (kBtu)
1000660001,13479,198231
1012670001,1000,334057
1010867502,16888,914366
1013000033,15450,1054771
1014220005,2500,1194831
1012930059,1000,1364800
1006900012,1446,1392178
1013360031,4368,1524536
1010350001,3352,1528141
1000627501,13000,1623285
1000160120,48536,2292603
1000890012,11197,2578303
1013280001,2800,3321302
1008547501,47998,3325529
1012580009,40000,3741969
1005980058,21225,4630818
1005050001,19160,4841878
1007050001,4405,4938057
1007297504,25000,6256562
1012760058,12000,10423912
1008410031,9816,11769192
1000160125,10799,13477330
1000160225,25516,16461080
1010000029,39867,23879918
1000160150,10766,26032817
1006870029,118738,45400187
1001137501,507601,48870064
1006720001,89736,54680614
1001920001,353825,145337610
1017740001,128,101086
1013157501,200,278735
1008060058,257,226630
1010287502,305,192779
1013010033,320,260583
1012700071,336,284777
1009940001,400,410108
1012950017,405,247189
1012750001,441,282686
1012600024,481,295671
1008367502,517,337707
1000700043,576,220902
1012750059,587,282112
1013090023,600,378947
1010270020,616,382151
1008510041,650,366635
1013130004,660,394073
1002260001,750,562998
1005100038,800,323976
1010090005,830,549611
1008210032,914,498361
1005540001,1000,978306
1007819002,1024,940923
1012967501,1037,737736
1013370014,1065,866751
1004770011,1119,961192
1009930029,1152,928008
1008110021,1156,843981
1012780001,1184,869298
1012940046,1225,938555
1013740014,1300,1038666
1013010023,1368,1130266
1013350005,1380,954273
1008110031,1429,983975
1013000001,1453,1234839
1000200016,1466,1014035
1012680001,1507,1307097
1013180001,1571,1108315
1008010001,1728,1308533
1012670041,1910,1339831
1012990027,2000,1465559
1002310035,2000,1138621
1000770008,2000,1416279
1010280056,2220,1411005
1012940001,2360,2174253
1012930035,2490,1569529
1008130001,2520,1602058
1008360026,2642,1673629
1012750027,2678,1920778
1010130041,2730,1517114
1010130042,2730,1657149
1010080019,2747,1899485
1008090053,3055,2069199
1007830070,3100,2114492
1007050039,3127,2772409
1012930069,3157,2097599
1008140019,3200,2105118
1012960001,3281,2248664
1010260055,3500,2381195
1012807501,3508,2524043
1013087502,3540,2979900
1000680036,3619,2161234
1012760042,3984,2608516
1007020010,4000,2954749
1005540035,4254,2543098
1012687501,4295,2816200
1008410049,4372,2842657
1000210001,4625,2720343
1012770014,4738,3069276
1007587501,4900,2799958
1013010001,4922,3675093
1008080040,5000,2193397
1013090032,5190,2038189
1007670054,5400,1911876
1010137501,5448,2328667
1000160140,5527,3216098
1012870028,5604,2177718
1010010029,6000,3568590
1007860051,6057,2549538
1012980023,6381,2587333
1010240038,6505,2654763
1000670023,7436,2810768
1000480001,7872,3602346
1000100014,8000,2862362
1000350001,9076,4059039
1013060001,9996,4877499
1008150026,10000,3603975
1009990029,11100,4488356
1001250020,11114,4362466
1013087501,11488,5211546
1010210026,11750,4218561
1013290001,12543,5365910
1010220043,13124,6208589
1013180038,13927,4327281
1010130029,14924,4783595
1010400029,14946,6698285
1010050029,16957,6550106
1010160036,17049,7115307
1007027501,24925,9904325
1013027501,25682,9984143
1002127504,26000,7749966
1010040029,35681,12696633
1000130027,42371,13043615
1010197502,44048,14310227
1000290070,60000,16675763
1007390001,615752,167765067
