bbl,address,office_sqft,total_gross_floor_area,elec_tariff,gas_tariff,steam_tariff,Gas_Jan_2023_kBtu,Gas_Feb_2023_kBtu,Gas_Mar_2023_kBtu,Gas_Apr_2023_kBtu,Gas_May_2023_kBtu,Gas_Jun_2023_kBtu,Gas_Jul_2023_kBtu,Gas_Aug_2023_kBtu,Gas_Sep_2023_kBtu,Gas_Oct_2023_kBtu,Gas_Nov_2023_kBtu,Gas_Dec_2023_kBtu,District_Steam_Jan_2023_kBtu,District_Steam_Feb_2023_kBtu,District_Steam_Mar_2023_kBtu,District_Steam_Apr_2023_kBtu,District_Steam_May_2023_kBtu,District_Steam_Jun_2023_kBtu,District_Steam_Jul_2023_kBtu,District_Steam_Aug_2023_kBtu,District_Steam_Sep_2023_kBtu,District_Steam_Oct_2023_kBtu,District_Steam_Nov_2023_kBtu,District_Steam_Dec_2023_kBtu,Elec_HVAC_Jan_2023_kBtu,Elec_HVAC_Feb_2023_kBtu,Elec_HVAC_Mar_2023_kBtu,Elec_HVAC_Apr_2023_kBtu,Elec_HVAC_May_2023_kBtu,Elec_HVAC_Jun_2023_kBtu,Elec_HVAC_Jul_2023_kBtu,Elec_HVAC_Aug_2023_kBtu,Elec_HVAC_Sep_2023_kBtu,Elec_HVAC_Oct_2023_kBtu,Elec_HVAC_Nov_2023_kBtu,Elec_HVAC_Dec_2023_kBtu,Elec_NonHVAC_Jan_2023_kBtu,Elec_NonHVAC_Feb_2023_kBtu,Elec_NonHVAC_Mar_2023_kBtu,Elec_NonHVAC_Apr_2023_kBtu,Elec_NonHVAC_May_2023_kBtu,Elec_NonHVAC_Jun_2023_kBtu,Elec_NonHVAC_Jul_2023_kBtu,Elec_NonHVAC_Aug_2023_kBtu,Elec_NonHVAC_Sep_2023_kBtu,Elec_NonHVAC_Oct_2023_kBtu,Elec_NonHVAC_Nov_2023_kBtu,Elec_NonHVAC_Dec_2023_kBtu,Gas_Jan_2023_Cost_USD,Gas_Feb_2023_Cost_USD,Gas_Mar_2023_Cost_USD,Gas_Apr_2023_Cost_USD,Gas_May_2023_Cost_USD,Gas_Jun_2023_Cost_USD,Gas_Jul_2023_Cost_USD,Gas_Aug_2023_Cost_USD,Gas_Sep_2023_Cost_USD,Gas_Oct_2023_Cost_USD,Gas_Nov_2023_Cost_USD,Gas_Dec_2023_Cost_USD,Steam_Jan_2023_Cost_USD,Steam_Feb_2023_Cost_USD,Steam_Mar_2023_Cost_USD,Steam_Apr_2023_Cost_USD,Steam_May_2023_Cost_USD,Steam_Jun_2023_Cost_USD,Steam_Jul_2023_Cost_USD,Steam_Aug_2023_Cost_USD,Steam_Sep_2023_Cost_USD,Steam_Oct_2023_Cost_USD,Steam_Nov_2023_Cost_USD,Steam_Dec_2023_Cost_USD,Elec_HVAC_Jan_2023_Cost_USD,Elec_HVAC_Feb_2023_Cost_USD,Elec_HVAC_Mar_2023_Cost_USD,Elec_HVAC_Apr_2023_Cost_USD,Elec_HVAC_May_2023_Cost_USD,Elec_HVAC_Jun_2023_Cost_USD,Elec_HVAC_Jul_2023_Cost_USD,Elec_HVAC_Aug_2023_Cost_USD,Elec_HVAC_Sep_2023_Cost_USD,Elec_HVAC_Oct_2023_Cost_USD,Elec_HVAC_Nov_2023_Cost_USD,Elec_HVAC_Dec_2023_Cost_USD,Elec_NonHVAC_Jan_2023_Cost_USD,Elec_NonHVAC_Feb_2023_Cost_USD,Elec_NonHVAC_Mar_2023_Cost_USD,Elec_NonHVAC_Apr_2023_Cost_USD,Elec_NonHVAC_May_2023_Cost_USD,Elec_NonHVAC_Jun_2023_Cost_USD,Elec_NonHVAC_Jul_2023_Cost_USD,Elec_NonHVAC_Aug_2023_Cost_USD,Elec_NonHVAC_Sep_2023_Cost_USD,Elec_NonHVAC_Oct_2023_Cost_USD,Elec_NonHVAC_Nov_2023_Cost_USD,Elec_NonHVAC_Dec_2023_Cost_USD
1000090014,"17 State St, New York, NY 10004",542515.0,575860.0,3163583.0,SC-4 (Large Volume Firm Service),SC-2 (Annual Power Service),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2228697.351,1641629.594,1194470.075,735948.4087,148377.0769,5303.619469,2324.885561,0.0,70.77527727,169236.1148,965503.5765,1604209.223,627858.4184,492734.9154,491156.4221,240234.93,274297.621,613856.9205,926214.2384,787341.6284,571738.9455,270263.021,346737.63,562368.1334,1208005.882,1247112.285,1383320.578,1361331.27,1406708.979,1202183.18,1166579.362,1202583.372,1213102.655,1406708.979,1361331.27,1211124.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79703.0,58708.19,42716.81,26319.09,5306.28,189.67,83.14,0.0,2.53,6052.25,34528.48,57369.96,31974.1,17396.51,18449.76,9638.29,19792.35,53613.07,81782.0,63721.03,27455.92,14558.54,15356.06,29789.47,61518.48,44030.58,51962.95,54617.0,101503.15,104996.33,103005.53,97327.33,58255.33,75776.65,60289.63,64155.06
1000090029,"24 State St, New York, NY 10004",835356.0,835356.0,84546.0,SC-4 (Large Volume Firm Service),SC-2 (Annual Power Service),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4493238.176,3808257.707,2809883.747,1671120.026,2047683.354,3168637.396,4115817.22,3954437.362,3075213.819,2344073.595,2713496.149,3528474.147,1030810.545,712824.2142,734536.8502,642592.0046,674408.305,1008095.226,982880.4668,1061199.907,760229.6913,407869.005,611884.5046,853660.2148,1984820.555,2053643.585,2276279.75,2236700.995,2311257.695,1975342.974,2056436.833,2036131.793,2039604.409,2311257.695,2236700.995,1993256.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160687.83,136191.46,100487.47,59762.84,73229.55,113317.27,147190.45,141419.16,109976.24,83829.1,97040.44,126185.8,63168.84,34076.4,39161.79,35632.56,51717.79,93273.24,91219.06,91955.35,43249.62,25500.43,32121.64,48105.93,121631.3,98173.95,121359.73,124027.99,177241.48,182767.1,190853.55,176435.37,116033.5,144502.41,117418.43,112325.09
1000100014,"33 Whitehall St, New York, NY 10004",290751.458,365792.0,3163583.0,SC-3 (General Firm Service),SC-2 (Annual Power Service),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1437583.564,1189256.925,840275.7319,295348.6641,49357.47889,121.0760131,47.35456594,0.0,0.0,132824.7955,648296.177,1094960.933,639804.8836,510972.6756,632295.3578,419781.5174,363026.355,577326.0385,736114.5743,734189.7442,528480.7435,223803.355,243620.2174,366095.1886,1004450.716,1037900.125,1145933.442,1138105.882,1176042.745,988428.7612,985198.2258,985697.2558,1001092.356,1176042.745,1138105.882,1017484.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51411.07,42530.38,30050.06,10562.3,1765.13,4.33,1.69,0.0,0.0,4750.1,23184.46,39158.15,32603.51,18057.96,23761.25,16845.56,26205.35,50448.85,65037.34,59450.32,25404.18,12069.97,10806.16,19422.74,51185.33,36679.78,43063.45,45671.45,84893.58,86372.5,87044.42,79815.91,48122.71,63425.34,50482.48,53981.4
1000100023,"1 Whitehall St, New York, NY 10004",316494.0,321994.0,83386.0,SC-3 (General Firm Service),SC-2 (Annual Power Service),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1827609.886,1629697.946,1185037.54,475981.39,443911.5087,901727.2801,1279608.893,1121582.24,700006.6628,522541.0117,992674.6631,1500213.979,172396.2125,155876.9625,148860.7969,83500.875,158868.8875,325187.8313,398882.3231,421567.7231,286997.4113,167204.1875,130883.775,176733.4475,422061.3876,434204.1375,481855.4031,473171.625,488944.0125,388863.6687,385530.0769,379648.6769,398764.8887,488944.0125,473171.625,421854.8525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65359.25,58281.49,42379.48,17022.12,15875.23,32247.7,45761.56,40110.19,25033.74,18687.19,35500.17,53650.87,11963.57,8674.16,9220.69,5381.76,10686.4,26560.41,32995.78,32249.28,19290.67,12051.74,7993.35,11465.43,29289.27,24162.37,29846.93,30496.66,32889.07,31761.27,31891.27,29042.53,26803.18,35242.1,28897.6,27367.47
1000130001,"1 Broadway, New York, NY 10004",180000.0,230911.0,3163581.0,SC-2 (Small General Service),SC-2 (Annual Power Service),727.0,331.0,332.0,669.0,97.0,0.0,0.0,4.0,2.0,0.0,14.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370600.0234,295759.0589,304693.662,157348.5581,86445.24,146901.0034,298438.344,310113.549,306837.7984,111410.24,150690.4581,311826.3784,413425.9766,428367.1411,475347.138,474054.5419,489856.36,435969.0966,412483.456,409456.551,394504.0016,489856.36,474054.5419,416224.7216,20.89,10.87,10.9,19.43,4.95,0.0,0.0,2.6,2.55,0.0,2.85,12.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21817.43,12714.14,14029.65,7697.3,5408.0,11202.98,23212.22,21847.97,17841.01,7045.12,7937.73,19101.0,24338.62,18414.72,21887.4,23190.16,30645.36,33247.93,32082.53,28846.83,22938.35,30976.49,24971.15,25495.94
1000130005,"11 Broadway, New York, NY 10004",411720.0,434220.0,3163583.0,SC-3 (General Firm Service),SC-2 (Annual Power Service),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2641985.12,2324074.718,1985295.23,780469.5983,53968.52968,72.63043761,55.54618443,4592.354591,2832.318728,265779.6373,1482158.16,2402142.957,210716.8833,133960.1652,171013.2113,246578.9532,329073.025,669355.5869,929672.4037,1014492.364,790474.7519,302769.425,101098.1532,171920.0133,475968.0167,492450.1348,544131.6888,534459.8468,552275.175,360923.2131,311248.9963,289258.6363,329521.9481,552275.175,534459.8468,477815.4867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94483.05,83113.89,70998.41,27911.27,1930.03,2.6,1.99,164.23,101.29,9504.85,53005.15,85905.78,10830.38,4795.92,6503.0,9976.59,23839.7,58605.81,82250.38,82248.22,38096.17,16402.38,4527.43,9193.7,24463.71,17630.27,20691.3,21624.27,40009.59,31600.84,27536.95,23451.14,15880.99,29919.23,23934.46,25551.95
1000130027,"25 Broadway, New York, NY 10004",767690.0,809401.0,84546.0,SC-4 (Large Volume Firm Service),SC-2 (Annual Power Service),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3849621.6,3592980.2,3079697.3,2053131.5,1026565.8,513282.9,513282.9,513282.9,769924.3,1539848.7,2566414.4,3592980.2,1938707.277,1568085.624,929321.3318,724745.45,612739.335,1346049.968,1930128.932,1930128.932,1346049.968,885067.935,1269402.65,1938707.277,2963207.423,3061500.476,3427936.168,3360183.45,3472189.565,3011207.532,2971785.768,2971785.768,3011207.532,3472189.565,3360183.45,2963207.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137670.72,128492.68,110136.58,73424.38,36712.19,18356.1,18356.1,18356.1,27534.14,55068.29,91780.48,128492.68,118677.3,74851.42,49495.72,40149.28,46958.86,124467.95,179001.11,167126.33,76487.31,55269.47,66552.24,109102.02,181391.73,146138.5,182572.14,186146.67,266100.2,278443.48,275604.89,257321.48,171107.45,216826.39,176167.68,166756.43
1000160260,"200 W St, New York, NY 10282",1834182.7,2157862.0,84546.0,SC-4 (Large Volume Firm Service),SC-2 (Annual Power Service),212000.3,217077.0,253667.9,197080.0,221110.3,197349.7,167844.8,196818.4,202533.4,210737.5,230869.2,244369.6,9979942.681,13055419.66,9119882.949,4680407.784,3139790.598,1059714.97,542335.9323,559613.8938,571132.6151,649843.3285,2850863.642,7698292.845,3443965.694,3274533.066,3202915.842,2340634.8,3352077.54,4535804.385,7992552.744,4756089.474,4217350.455,1976346.84,2103885.6,2411528.309,6653171.606,6841165.134,7594264.258,7496887.8,7746784.06,6320938.515,5674640.756,6513723.826,6403500.645,7746784.06,7496887.8,6702335.291,4379.34,4483.41,5233.53,4073.47,4566.09,4079.0,3474.15,4068.11,4185.27,4353.45,4766.15,5042.91,356904.15,466889.8,326146.57,167381.42,112285.64,37897.68,19395.1,20012.99,20424.93,23239.79,101953.0,275307.46,210633.95,156121.55,170353.14,129490.97,256615.57,419096.04,740669.63,411525.55,239346.65,123281.19,110183.57,135591.6,406909.92,326169.65,403915.33,414750.41,593048.76,584037.6,525868.8,563606.68,363416.89,483231.34,392623.01,376848.3
1000200004,"39 Broadway, New York, NY 10006",447442.0,447442.0,3163581.0,SC-3 (General Firm Service),SC-2 (Annual Power Service),18234.0,18234.0,21808.0,18855.0,19321.0,20254.0,17923.0,19062.0,20910.0,18855.0,17716.0,20047.0,3192814.103,2682070.215,1698823.448,809131.5153,390096.7129,14915.2774,16293.71495,54695.72611,317457.9007,996152.9753,1836081.883,2413112.128,258989.9553,177805.8247,217052.9363,165180.315,198844.8822,402984.2003,709991.7059,638281.4609,419488.7602,149147.3822,132164.115,257152.7703,668694.1447,690534.3753,763558.4637,748929.985,773894.3178,644452.5997,589822.3941,608413.9391,640173.6398,773894.3178,748929.985,668781.6297,406.15,406.15,484.78,419.81,430.06,450.59,399.31,424.36,465.02,419.81,394.75,446.03,114181.88,95916.58,60753.57,28936.28,13950.69,533.4,582.7,1956.04,11352.98,35624.57,65662.22,86298.06,15243.33,7640.89,9990.14,8074.75,12429.55,30710.95,55189.71,44940.79,24376.91,9425.21,6957.66,15746.67,39357.22,29674.5,35143.77,36611.03,48375.18,49112.96,45848.6,42837.84,37201.13,48905.45,39426.75,40952.62
1000200009,"45 Broadway, New York, NY 10006",368305.0,394763.0,3163585.0,SC-3 (General Firm Service),SC-2 (Annual Power Service),17229.0,24408.0,40166.0,22101.0,35524.0,22191.0,16431.0,18327.0,14090.0,16462.0,14628.0,14870.0,1381847.511,1158387.225,798737.1302,396848.517,130387.8732,489.9941923,0.0,0.0,0.0,173363.1124,672424.1084,1025221.929,377331.1382,277062.3447,296174.298,221538.407,290142.86,464271.7594,633135.771,622492.506,446078.3494,199484.16,271232.107,367571.2832,976792.8618,1007822.256,1116306.702,1093945.394,1130410.24,973578.6411,966263.929,969023.294,978295.4511,1130410.24,1093945.394,977257.6168,384.04,541.98,888.65,491.22,786.53,493.2,366.48,408.19,314.98,367.16,326.82,332.14,49417.83,41426.41,28564.55,14192.15,4662.95,17.52,0.0,0.0,0.0,6199.84,24047.33,36664.13,19219.66,9782.1,11134.83,8892.88,23266.77,44758.19,61426.55,55779.41,21656.24,10830.42,12013.84,19473.08,49753.73,35582.69,41968.16,43912.6,90648.45,93858.0,93746.5,86830.83,47494.36,61372.36,48454.74,51772.87
