bbl,bin,address,latitude,longitude,cooling_towers,water_tanks,total_equipment,has_building_outline
1000090001,1000018.0,34 Whitehall St,40.7027645,-74.0132657,1.0,1.0,2.0,True
1000090014,1000020.0,17 STATE STREET,40.7028912,-74.0138782,0.0,2.0,2.0,True
1000090029,1000021.0,24 STATE STREET,40.7033469,-74.0137305,5.0,2.0,7.0,True
1000100014,1000023.0,33 WHITEHALL STREET,40.7033827,-74.0126809,4.0,1.0,5.0,True
1000100016,1000025.0,90 Broad St,40.7039097,-74.0119577,1.0,0.0,1.0,True
1000100023,1000027.0,1 WHITEHALL STREET,40.7038081,-74.0127567,1.0,1.0,2.0,True
1000110021,1000038.0,80 Broad St,40.704323,-74.011867,5.0,2.0,7.0,True
1000130005,1000044.0,11 BROADWAY,40.7052819,-74.0142719,2.0,1.0,3.0,True
1000130027,1000045.0,25 BROADWAY,40.7057595,-74.0140015,7.0,0.0,7.0,True
1000160225,1085502.0,1 North End Ave,40.7145675,-74.0169485,1.0,0.0,1.0,True
1000200001,1000802.0,29 Broadway,40.706137,-74.013816,2.0,0.0,2.0,True
1000200004,1000803.0,39 BROADWAY,40.7063442,-74.0134281,0.0,0.0,0.0,True
1000200009,1000804.0,45 BROADWAY,40.7065418,-74.0132658,1.0,1.0,2.0,True
1000200016,1000807.0,55 BROADWAY,40.7068548,-74.0130242,1.0,1.0,2.0,True
1000210001,1000808.0,61 BROADWAY,40.7071046,-74.0128367,1.0,0.0,1.0,True
1000210004,1000809.0,65 BROADWAY,40.7073269,-74.0126636,2.0,1.0,3.0,True
1000220013,1000811.0,26 BROADWAY,40.7054275,-74.0129013,2.0,0.0,2.0,True
1000220017,1078979.0,32 BROADWAY,40.7057953,-74.0127463,0.0,0.0,0.0,True
1000220020,1000812.0,42 BROADWAY,40.7059875,-74.0125949,1.0,1.0,2.0,True
1000220024,1000813.0,50 BROADWAY,40.7062318,-74.0124398,1.0,0.0,1.0,True
1000220028,1000814.0,52 BROADWAY,40.7064843,-74.012274,2.0,1.0,3.0,True
1000230019,1078982.0,11 Wall St,40.707139,-74.011093,1.0,0.0,1.0,True
1000240029,1000819.0,30 BROAD STREET,40.706273,-74.0116535,1.0,0.0,1.0,True
1000240036,1000820.0,50 Broad St,40.705661,-74.011903,2.0,1.0,3.0,True
1000250001,1000821.0,55 BROAD STREET,40.7052767,-74.0110474,1.0,1.0,2.0,True
1000250027,1000825.0,40 Exchange Pl,40.7057422,-74.0101333,0.0,1.0,1.0,True
1000290036,1078995.0,1 WILLIAM STREET,40.7047882,-74.0100303,0.0,0.0,0.0,True
1000290070,1000849.0,75 BROAD STREET,40.7046838,-74.0112385,1.0,0.0,1.0,True
1000290073,1000850.0,44 BEAVER STREET,40.7049035,-74.0107841,0.0,0.0,0.0,True
1000330001,1000863.0,77 WATER STREET,40.7042257,-74.008198,2.0,2.0,4.0,True
1000350001,1000867.0,77 Front St,40.7038611,-74.0077104,5.0,1.0,6.0,True
1000350010,1000868.0,111 Wall St,40.704268,-74.007223,1.0,0.0,1.0,True
1000380017,1000876.0,88 Pine St,40.7058278,-74.0061083,8.0,0.0,8.0,True
1000390012,1000880.0,110 MAIDEN LANE,40.7061471,-74.0068024,2.0,2.0,4.0,True
1000400014,1001005.0,48 WALL STREET,40.7064764,-74.0091216,2.0,0.0,2.0,True
1000430001,1001017.0,44 WALL STREET,40.7067837,-74.0093849,1.0,0.0,1.0,True
