bbl,address,office_sqft,total_gross_floor_area,office_pct_of_building,elec_tariff,Elec_HVAC_Jan_2023_Pct,Elec_HVAC_Feb_2023_Pct,Elec_HVAC_Mar_2023_Pct,Elec_HVAC_Apr_2023_Pct,Elec_HVAC_May_2023_Pct,Elec_HVAC_Jun_2023_Pct,Elec_HVAC_Jul_2023_Pct,Elec_HVAC_Aug_2023_Pct,Elec_HVAC_Sep_2023_Pct,Elec_HVAC_Oct_2023_Pct,Elec_HVAC_Nov_2023_Pct,Elec_HVAC_Dec_2023_Pct,odcv_hvac_savings_pct,Office_Elec_Savings_ODCV_Jan_kBtu,Office_Elec_Savings_ODCV_Feb_kBtu,Office_Elec_Savings_ODCV_Mar_kBtu,Office_Elec_Savings_ODCV_Apr_kBtu,Office_Elec_Savings_ODCV_May_kBtu,Office_Elec_Savings_ODCV_Jun_kBtu,Office_Elec_Savings_ODCV_Jul_kBtu,Office_Elec_Savings_ODCV_Aug_kBtu,Office_Elec_Savings_ODCV_Sep_kBtu,Office_Elec_Savings_ODCV_Oct_kBtu,Office_Elec_Savings_ODCV_Nov_kBtu,Office_Elec_Savings_ODCV_Dec_kBtu,Office_Gas_Savings_ODCV_Jan_kBtu,Office_Gas_Savings_ODCV_Jan_USD,Office_Gas_Savings_ODCV_Feb_kBtu,Office_Gas_Savings_ODCV_Feb_USD,Office_Gas_Savings_ODCV_Mar_kBtu,Office_Gas_Savings_ODCV_Mar_USD,Office_Gas_Savings_ODCV_Apr_kBtu,Office_Gas_Savings_ODCV_Apr_USD,Office_Gas_Savings_ODCV_May_kBtu,Office_Gas_Savings_ODCV_May_USD,Office_Gas_Savings_ODCV_Jun_kBtu,Office_Gas_Savings_ODCV_Jun_USD,Office_Gas_Savings_ODCV_Jul_kBtu,Office_Gas_Savings_ODCV_Jul_USD,Office_Gas_Savings_ODCV_Aug_kBtu,Office_Gas_Savings_ODCV_Aug_USD,Office_Gas_Savings_ODCV_Sep_kBtu,Office_Gas_Savings_ODCV_Sep_USD,Office_Gas_Savings_ODCV_Oct_kBtu,Office_Gas_Savings_ODCV_Oct_USD,Office_Gas_Savings_ODCV_Nov_kBtu,Office_Gas_Savings_ODCV_Nov_USD,Office_Gas_Savings_ODCV_Dec_kBtu,Office_Gas_Savings_ODCV_Dec_USD,Office_Steam_Savings_ODCV_Jan_kBtu,Office_Steam_Savings_ODCV_Jan_USD,Office_Steam_Savings_ODCV_Feb_kBtu,Office_Steam_Savings_ODCV_Feb_USD,Office_Steam_Savings_ODCV_Mar_kBtu,Office_Steam_Savings_ODCV_Mar_USD,Office_Steam_Savings_ODCV_Apr_kBtu,Office_Steam_Savings_ODCV_Apr_USD,Office_Steam_Savings_ODCV_May_kBtu,Office_Steam_Savings_ODCV_May_USD,Office_Steam_Savings_ODCV_Jun_kBtu,Office_Steam_Savings_ODCV_Jun_USD,Office_Steam_Savings_ODCV_Jul_kBtu,Office_Steam_Savings_ODCV_Jul_USD,Office_Steam_Savings_ODCV_Aug_kBtu,Office_Steam_Savings_ODCV_Aug_USD,Office_Steam_Savings_ODCV_Sep_kBtu,Office_Steam_Savings_ODCV_Sep_USD,Office_Steam_Savings_ODCV_Oct_kBtu,Office_Steam_Savings_ODCV_Oct_USD,Office_Steam_Savings_ODCV_Nov_kBtu,Office_Steam_Savings_ODCV_Nov_USD,Office_Steam_Savings_ODCV_Dec_kBtu,Office_Steam_Savings_ODCV_Dec_USD,Office_Elec_Savings_ODCV_Jan_USD,Office_Elec_Savings_ODCV_Feb_USD,Office_Elec_Savings_ODCV_Mar_USD,Office_Elec_Savings_ODCV_Apr_USD,Office_Elec_Savings_ODCV_May_USD,Office_Elec_Savings_ODCV_Jun_USD,Office_Elec_Savings_ODCV_Jul_USD,Office_Elec_Savings_ODCV_Aug_USD,Office_Elec_Savings_ODCV_Sep_USD,Office_Elec_Savings_ODCV_Oct_USD,Office_Elec_Savings_ODCV_Nov_USD,Office_Elec_Savings_ODCV_Dec_USD,Total_ODCV_Savings_Annual_USD,ODCV_Savings_Rank
1000090014,"17 State St, New York, NY 10004",542515.0,575860.0,0.942095301,3163583,0.341996093,0.283205856,0.262023179,0.15,0.163174625,0.338019475,0.442573142,0.395663971,0.320330356,0.16116132,0.202999791,0.317096408,0.3,180368.71125930088,140348.3167269407,132343.0452884475,60962.283217807715,71041.92302153406,173155.63500903037,272595.4105709452,234225.0568565946,159390.09159831674,73173.01026473683,94082.80798820649,161968.38384066496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566904.2315400001,20273.711877899997,417574.31202,14933.3516811,303832.25415,10865.6926119,187200.055152,6694.6745727,37742.043663,1349.73579231,1349.0590446,48.245548239,591.37121574,21.147966896400003,0.0,0.0,18.0028051578,0.6435452999700001,43047.868095000005,1539.48499695,245591.023275,8782.8620652,408055.85217,14592.9518271,9119.846484668524,4919.781320665352,4935.848545225236,2428.3706503459935,5089.554122410513,15015.156921257434,23897.614952435913,18821.000625654633,7599.5736284780605,3913.558504803571,4136.936283328028,8518.480306147047,187498.2248310157,268.0
1000090029,"24 State St, New York, NY 10004",835356.0,835356.0,1.0,84546,0.341822494,0.257665827,0.243965989,0.223177011,0.225882033,0.337897137,0.323388567,0.342617456,0.271526692,0.15,0.214802928,0.299854321,0.3,315268.5096213598,218523.62523363694,209909.68414867768,176032.6582813379,185044.66060351458,307374.7109302159,313108.90401439054,334164.4003779207,229131.9845479822,118538.01506949023,176120.18418155942,261079.94322896394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1213174.30752,43385.7141,1028229.58089,36771.6942,758668.6116899999,27131.616899999997,451202.40702,16135.966799999998,552874.50558,19771.9785,855532.09692,30595.6629,1111270.6494,39741.4215,1067698.08774,38183.1732,830307.7311300001,29693.5848,632899.87065,22633.857,732643.9602300001,26200.918800000003,952688.01969,34070.166,19219.83801417676,10392.371284857842,11133.365933257697,9710.689192339583,14116.876469780022,28292.32822844108,28908.485511318362,28806.135964417535,12967.857182467831,7372.748676900916,9197.769003662148,14636.32929319019,559070.54945481,76.0
1000100014,"33 Whitehall St, New York, NY 10004",290751.458,365792.0,0.794854611,3163583,0.389115223,0.329899702,0.355575929,0.269455621,0.235873981,0.368720593,0.427647185,0.426882548,0.345508654,0.159877114,0.176315854,0.2646,0.316,139145.1321740091,111293.65885550663,127350.1968142645,82433.12027389472,71049.36214329585,123221.06245774515,164528.33337698894,165108.3979476831,112930.80941552606,45445.27145003178,50369.552193222786,79137.0905556528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324975.32667000004,11621.814331464,268839.43819596,9614.275289748,189949.91826132,6793.015939344,66765.53001744,2387.6781699527996,11157.58640268,399.019377168,27.370038095496,0.9788253008148,10.704814609284,0.3820357409292,0.0,0.0,0.0,0.0,30025.92850128,1073.7917000316002,146551.66292952,5241.001392935999,247523.20201836005,8851.96026684,7037.89720262354,3903.908072476768,4750.147020598006,3283.3858816806096,5090.611962660577,10687.42602640745,14428.330541135523,13270.067191814773,5388.234070649638,2432.6881296954207,2217.604867866956,4167.297506892755,122641.51580302812,359.0
1000100023,"1 Whitehall St, New York, NY 10004",316494.0,321994.0,0.982918936,83386,0.290005902,0.26416193,0.236018667,0.15,0.245238845,0.455412294,0.508510986,0.526159628,0.418508587,0.254826863,0.216675118,0.295250421,0.3,51668.57500810033,46431.49049460053,42011.43450012844,22313.998370539546,42645.6500247008,96626.53009336183,122688.86101673782,129163.07531059977,83687.48908377413,47043.05567738978,37129.193220275825,53217.393253738264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485025.93855,17345.568012300002,432502.46244,15467.2146432,314494.87626,11247.0102207,126319.802832,4517.4683042999995,117808.83756,4213.0973312999995,239307.70115699997,8558.1562446,339592.98923999997,12144.5740476,297654.59394,10644.7676283,185773.44721499996,6643.6570143,138676.172958,4959.3580884,263444.05548,9421.3231218,398138.95683,14238.3031416,3576.430737450544,2577.202497001689,2595.6184103125306,1434.5024861370925,2861.2617737785545,7872.03905519428,10122.996354590165,9855.561204839421,5610.7417824507975,3382.1162078731995,2261.7726425454302,3443.6227189015035,174994.36366947525,284.0
1000130001,"1 Broadway, New York, NY 10004",180000.0,230911.0,0.779521114,3163581,0.472688436,0.408435793,0.390612468,0.249204602,0.15,0.252030433,0.419790677,0.430970588,0.437501085,0.185292581,0.241203144,0.428302874,0.266666667,78680.68615952836,62988.91675370822,60538.834867796606,29424.896226392386,16263.992303314762,30961.100236535352,64901.53469056387,66984.80035710653,63676.54055276342,21984.980580628246,29802.0706707373,66448.93550458988,136.01084417001357,3.9082070640852593,61.92515738940645,2.0336146851820187,62.11224245364031,2.0392272373490345,125.1599102524499,3.635062864543829,18.147251561884065,0.9260710847575888,0.0,0.0,0.0,0.0,0.7483402706154254,0.4864211758880265,0.3741701351877127,0.4770669224363337,0.0,0.0,2.6191909472739887,0.5331924426664906,74.83402706154254,2.361013553591267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4614.031506436366,2697.288133300137,2776.7171680125284,1433.8531443433665,1013.531677369829,2352.0118808376183,5028.416936285812,4700.897906692192,3688.1144508236434,1384.8532560191643,1563.7632416249764,4054.576262418577,35324.45544119471,760.0
1000130005,"11 Broadway, New York, NY 10004",411720.0,434220.0,0.948182949,3163583,0.306861099,0.213853708,0.239130855,0.315706407,0.373374592,0.649683937,0.749179121,0.778133527,0.705783108,0.354097815,0.159069909,0.2646,0.303866667,61439.15596367164,39001.93404643827,46925.57690736593,64846.24053924431,85479.65679699715,193983.41872416745,279074.19801421545,303866.6667770365,225076.5297811599,82691.59932672232,28130.27264052968,50583.313829628205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685090.7127336856,24500.31211836216,602653.6608972143,21552.18577772615,514805.06585052685,18410.531889185844,202382.8481175564,7237.645552448697,13994.529407894412,500.4742904877664,18.83373145556008,0.6742035901507427,14.403629597991584,0.5160250554827053,1190.8392124329578,42.58632908395202,734.4459440197068,26.26541601547483,68919.07139589831,2464.693843419701,384337.0587622071,13744.716317593971,622897.4635754613,22276.148185085516,3135.863426056799,1386.5966877584256,1771.9883680391117,2605.4245648868964,6149.484737764353,16866.144159339783,24518.56464249521,24464.0396962463,10771.865096521246,4448.603268500978,1250.9786427795736,2686.201143945972,210812.50438238948,242.0
1000130027,"25 Broadway, New York, NY 10004",767690.0,809401.0,0.948466829,84546,0.395500003,0.338709679,0.213281251,0.177419355,0.15,0.308921373,0.393750004,0.393750004,0.308921373,0.203125001,0.27419355,0.395500003,0.3109,443656.89277476363,359133.60884268844,195919.40896580231,147122.6158757775,123667.75207212682,301220.59111285914,448260.6946045471,455110.24430773885,299949.1662410381,191426.5993965137,273218.5231669555,443468.7421146234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021653.01446552,36536.501702853,953542.82435778,34100.73704548801,817322.41700073,29229.202414368003,544881.60256644,19486.1331745128,272440.814518233,9743.0665872564,136220.407245126,4871.5346199276,136220.407245126,4871.5346199276,136220.407245126,4871.5346199276,204330.59760469495,7307.2992772926,408661.22179134,14614.601207184,681102.00964368,24357.6677972385,953542.82435778,34100.73704548801,27053.345238713613,17076.728187192275,10394.355116946579,8118.766192970098,9440.968714671242,27745.93311391497,41411.25480244467,39254.86387110584,16978.299838264225,11907.739055780716,14268.939981103336,24860.042846447097,472601.7870710188,92.0
1000160260,"200 W St, New York, NY 10282",1834182.7,2157862.0,0.85,84546,0.341083378,0.323708063,0.296643736,0.237929293,0.302019942,0.417786847,0.584798389,0.422020254,0.397082156,0.203262392,0.219137096,0.2646,0.266666667,797453.2674546568,761851.6566830451,692928.3491016378,486189.6966223597,692157.2952681802,1036866.6751652827,1892334.6373383114,1126362.326326554,948099.8855530388,432374.6628555834,458412.7775787704,559377.3260522756,43248.061254060085,893.3853611167317,44283.70805535465,914.6156411432696,51748.25166468532,1067.6401213345505,40204.32005025541,830.987881038735,45106.50125638313,931.482361164353,40259.33885032418,832.1160010401451,34240.33924280043,708.7266008859084,40150.953650188705,829.8944410373682,41316.81365164602,853.7950810672439,42990.450053738066,888.1038011101299,47097.31685887166,972.2946012153684,49851.39846231425,1028.7536412859422,2035908.3095048857,72808.44669101057,2663305.6137291323,95245.51931905693,1860456.1240055703,66533.90036316738,954803.189033504,34145.809722682265,640517.2827206467,22906.27058863284,216181.85415022736,7731.126729663909,110636.53033829568,3956.600404945751,114161.23447070156,4082.6499651033128,116511.05361763884,4166.685725208358,132568.03917371007,4740.917165926147,581576.1837669703,20798.412025998015,1570451.7422830649,56162.72191020341,48539.69723528108,36149.82158775685,36678.80890576839,26769.104004770463,52734.644076535384,95346.42761622184,174525.63847411826,96994.51451277747,53550.55998692317,26842.078936852602,23893.16682501553,31301.672250551972,1107356.9905576117,23.0
1000200004,"39 Broadway, New York, NY 10006",447442.0,447442.0,1.0,3163581,0.279179039,0.204765165,0.221344496,0.180700639,0.204417466,0.384733666,0.546225576,0.511978677,0.395870194,0.161582496,0.15,0.27772245,0.3223,83925.05976622943,57532.175063845505,66111.46273935983,48135.564077395,58376.79149995844,130658.20446406779,238607.54812678194,214126.31354098377,133844.14479564104,46270.2366273648,40455.21278763158,83196.55877012965,5289.13638,117.81193049999996,5289.13638,117.81193049999996,6325.84656,140.62013459999997,5469.26985,121.7742867,5604.44247,124.7475042,5875.0777800000005,130.70264129999998,5198.92461,115.8278517,5529.314339999999,123.0941052,6065.3637,134.88835139999998,5469.26985,121.7742867,5138.88012,114.5051325,5815.033289999999,129.3799221,926139.58685721,33120.7379316,777988.1072650499,27822.5223606,492777.71756136,17622.7880499,234704.77864307095,8393.546739599999,113155.353510903,4046.6766483,4326.474515418,154.72333799999998,4726.3178955465,169.023789,15865.5892727277,567.3885227999999,92085.013256049,3293.1589086,288954.093545271,10333.6190199,532592.2718018099,19046.640155399997,699971.43496896,25032.4782642,4915.602208516591,2460.350824757547,3028.10516568697,2341.666123535932,3631.3602509584075,9909.004410359019,18457.68265649674,15003.294998134816,7740.087691987621,2909.8155242637927,2119.397416811654,5069.801221060268,228682.4102978693,214.0
1000200009,"45 Broadway, New York, NY 10006",368305.0,394763.0,0.932977508,3163585,0.278653313,0.215632084,0.209683739,0.168408312,0.204246402,0.322892951,0.395858378,0.391131842,0.313175059,0.15,0.198679005,0.273321969,0.3123,111234.08872348935,82890.6306215137,82594.90758740396,59279.36555929404,77051.78674900872,137252.6344576088,192306.5593021961,188534.53637147034,130156.67149422919,56122.66282699411,75353.05501708583,108626.55012329068,4517.994925554301,100.707572745954,6400.558368671402,142.124492954286,10532.8100380113,233.032456294875,5795.589169413001,128.813597236305,9315.52914951,206.253325667358,5819.190049551601,129.33281658249,4308.733796570101,96.10277901689702,4805.925647505301,107.04047525523,3694.8487140063,82.597831643385,4316.862990241801,96.281096767326,3835.9295238393,85.702658384844,3899.3896630278,87.097732549965,362364.6200922901,12958.9358137623,303766.18523289,10863.329857983905,209454.42568571103,7490.538738867601,104066.375632335,3721.6357109118,34191.871219709996,1222.7746492739702,128.49215124973503,4.5943044327558,0.0,0.0,0.0,0.0,0.0,0.0,45461.353644522,1625.79636950211,176331.11084883002,6305.979156881401,268845.984770535,9614.507704444804,5626.849249956963,2906.460779048811,3083.854465143248,2363.204361733807,6136.3657524853525,13140.902302835386,18529.24084388125,16777.796249117466,6275.417899921263,3026.072112064954,3314.7116505488,5715.225594193334,142199.2804020902,320.0
