bbl,National Median Site EUI (kBtu/ft²),building_eui_kBtu_sf_year,comparison,comparison percentage
1000090001,92.6,72.54856238,under,21.7
1000090014,86.9,52.5660157,under,39.5
1000090029,93.2,87.0560063,under,6.6
1000100014,89,66.86331576,under,24.9
1000100016,81.7,55.25210059,under,32.4
1000100023,135,63.4936297,under,53
1000110021,84.1,55.62138288,under,33.9
1000130001,67.2,35.36964545,under,47.4
1000130005,141,51.74644167,under,63.3
1000130027,127,96.46236105,under,24
1000160120,102.4,66.78547585,under,34.8
1000160125,100.1,81.32281566,under,18.8
1000160140,130.1,53.37785487,under,59
1000160150,117.7,68.63329389,under,41.7
1000160225,151.4,118.0623653,under,22
1000200001,105.5,55.65938383,under,47.2
1000200004,126.5,59.67260271,under,52.8
1000200009,102.2,57.9454037,under,43.3
1000200016,92.6,62.50761286,under,32.5
1000210001,89.3,40.68203398,under,54.4
1000210004,161.6,108.7274703,under,32.7
1000220013,174.8,107.870921,under,38.3
1000220017,56.9,76.19658818,over,33.9
1000220020,56.9,58.062033,over,2
1000220024,75.4,29.11419335,under,61.4
1000220028,83.1,43.35703305,under,47.8
1000240001,97.1,66.17013905,under,31.9
1000240029,84.8,42.30534703,under,50.1
1000240036,84.8,51.85141109,under,38.9
1000250001,93.9,75.56662398,under,19.5
1000250027,135,68.5794927,under,49.2
1000280012,136.8,88.41041595,under,35.4
1000290001,88.8,57.07162537,under,35.7
1000290070,165.1,87.63975896,under,46.9
1000290073,127.8,88.48965441,under,30.8
1000330001,119.2,79.27565014,under,33.5
1000350001,110.1,77.92461495,under,29.2
1000370023,,57.4,under,27.9
1000380001,,73.4,under,19.4
1000380017,140.3,91.80899412,under,34.6
1000390012,64,70.24452901,over,9.8
1000400014,79.1,63.70931071,under,19.5
1000430001,87.2,47.79910534,under,45.2
1000430002,98,58.76492378,under,40
1000430005,73.8,87.08273561,over,18
1000440001,84.3,79.10082915,under,6.2
1000460001,90.4,57.00050994,under,36.9
1000460003,69,44.99364143,under,34.8
1000460009,92,98.85490168,over,7.5
1000480001,41.6,42.15725864,over,1.3
1000490002,91.6,56.875954,under,37.9
1000500001,97.4,61.1468635,under,37.2
1000510001,72.5,38.51994384,under,46.9
1000510007,41.6,46.34557433,over,11.4
1000630003,94.2,76.69797029,under,18.6
1000640012,96.4,40.85459167,under,57.6
1000640015,145.8,40.16480467,under,72.5
1000650007,97.4,41.05922053,under,57.8
1000660001,85.8,145.7030902,over,69.8
1000670001,113.9,87.20371435,under,23.4
1000670023,85.4,54.22482273,under,36.5
1000680007,103.5,91.12130331,under,12
1000680011,83,50.6885187,under,38.9
1000680036,112.1,128.3371667,over,14.5
1000750030,128.7,44.70919797,under,65.3
1000770008,55.8,48.95148444,under,12.3
1000780004,90.7,49.9079586,under,45
1000800001,86.6,61.72448,under,28.7
1000880001,69.3,56.82080437,under,18
1000880005,114.5,31.1663354,under,72.8
1000880010,140,67.52696825,under,51.8
1000880018,137.7,27.01693547,under,80.4
1000890001,128.7,65.092951,under,49.4
1000890012,,73.4,under,28.5
1000930001,182.9,101.6719444,under,44.4
1000940025,138.8,64.57765194,under,53.5
1001210001,60.2,49.53087204,under,17.7
1001220001,60.2,71.11649331,over,18.1
1001240004,88.5,40.69678927,under,54
1001250020,,54.3,under,34
1001270018,45.7,56.18373196,over,22.9
1001480010,108.9,35.86549082,under,67.1
1001490033,114.8,77.25352027,under,32.7
1001500031,95,27.39358424,under,71.2
1001500038,80.2,23.53776253,under,70.7
1001510032,87.5,34.29877074,under,60.8
1001530001,113,45.76421082,under,59.5
1001530024,60.2,43.0408939,under,28.5
1001540023,119,76.49482857,under,35.7
1001550001,103.8,61.69689188,under,40.6
1001550003,88.7,50.42691308,under,43.1
1001660027,110.1,54.25284109,under,50.7
1001680032,112.7,67.18514419,under,40.4
1001770002,,14.4,under,90.5
1001920001,334.7,202.4037363,under,39.5
1001940042,85,19.80549407,under,76.7
1001960005,52.1,29.3753941,under,43.6
