bbl,office_sqft,current_noi,new_noi,utility_savings_annual,ll97_avoidance_2026,ll97_avoidance_2030,ll97_avoidance_2035,ll97_annual_weighted,total_annual_benefit,noi_impact_percentage,cap_rate_median,odcv_value_increase
1005780067,110543.0,2655242.8600000003,2710922.1140000005,44633.35,0.0,18409.84,18409.84,11045.903999999999,55679.254,2.096955229172521,0.1017,547485.2900688299
1005800065,133025.0,3195260.5,3218223.46,22962.96,0.0,0.0,0.0,0.0,22962.96,0.7186568982403782,0.1017,225791.15044247787
1000280012,91006.0,2185964.12,2255546.3060000003,53989.23,0.0,25988.26,25988.26,15592.956,69582.186,3.1831348631650913,0.1017,684190.6194690266
1005540035,287672.0,6909881.439999999,7028880.639999999,106175.22,0.0,21373.3,21373.3,12823.98,118999.2,1.7221597943943887,0.1017,1170100.2949852508
1002250008,292548.0,7027002.960000001,7147728.468000001,116942.69,0.0,626.22,34697.08,3782.818,120725.508,1.7180227287110748,0.1017,1187074.808259587
1001560050,905500.0,21750110.0,21750110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1017,0.0
1001590060,128235.0,3080204.6999999997,3080204.6999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1017,0.0
1000580001,3000000.0,79650000.0,80982992.02,1330497.62,0.0,0.0,24944.0,2494.4,1332992.02,1.6735618581293157,0.0877,15199452.90763968
1000370001,582412.0,15463038.599999996,16093617.238999996,561594.58,0.0,111060.34,134538.89,68984.059,630578.639,4.077973646137054,0.0877,7190178.3238312425
1000840036,1636000.0,43435800.0,45643207.946,1936287.56,0.0,451867.31,451867.31,271120.386,2207407.946,5.082001358326542,0.0877,25169987.981755987
1000110001,1529480.0,40607693.99999999,40607693.99999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0877,0.0
1005310037,105571.0,2802910.05,2802910.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0877,0.0
1000630003,491163.0,13040377.649999999,13392878.775999999,308873.8,0.0,72712.21,72712.21,43627.32600000001,352501.126,2.7031512082013975,0.0877,4019397.103762828
1000430002,1041265.0,27645585.749999993,28071503.226999994,415855.19,0.0,0.0,100622.87,10062.287,425917.477,1.5406346635285169,0.0877,4856527.673888256
1000290001,993569.0,26379256.949999996,26812125.944999997,423470.23,0.0,0.0,93987.65,9398.765,432868.995,1.6409446097002365,0.0877,4935792.417331813
1000860001,1154357.0,30648178.349999994,31076133.977999993,418545.77,0.0,0.0,94098.58,9409.858,427955.628,1.3963493135310605,0.0877,4879767.7080957815
1001280002,1059466.0,28128822.3,28698063.476,506782.07,0.0,104098.51,104098.51,62459.10599999999,569241.176,2.023693597723073,0.0877,6490777.377423033
1000160120,1395264.0,37044259.2,37903445.901,808370.56,0.0,65382.59,181248.46,50816.14099999999,859186.701,2.319351822805516,0.0877,9796883.70581528
1000380017,664990.0,17655484.499999993,18210096.859999992,477245.12,0.0,128945.4,128945.4,77367.24,554612.36,3.1413035422505695,0.0877,6323972.177879133
1000510001,390294.0,10362305.7,10517713.879999999,155408.18,0.0,0.0,0.0,0.0,155408.18,1.4997451773691641,0.0877,1772043.101482326
1000200001,296550.0,7873402.5,8006043.311,129034.29,0.0,0.0,36065.21,3606.5209999999997,132640.811,1.6846695059727987,0.0877,1512437.981755986
1000460003,333178.0,8845875.899999999,8969522.923999999,121310.84,0.0,0.0,23361.84,2336.184,123647.02399999999,1.3977928856089876,0.0877,1409886.2485746862
1004830017,111310.0,2955280.4999999995,3023396.7159999995,57044.83,0.0,18452.31,18452.31,11071.386,68116.216,2.3048985028663105,0.0877,776695.7354618016
1001920001,1089915.0,28937243.249999993,29693609.429999992,604349.84,198242.23,121199.08,121199.08,152016.34000000003,756366.1799999999,2.6138156059492648,0.0877,8624471.835803876
1005120023,100000.0,2655000.0,2821971.928,120155.52,54266.38,41849.76,41849.76,46816.408,166971.928,6.288961506591338,0.0877,1903898.836944128
1002330026,118374.0,3142829.6999999997,3223096.758,69635.58,0.0,17719.13,17719.13,10631.478000000001,80267.058,2.553974146292432,0.0877,915245.8152793616
1002120018,80792.0,2145027.5999999996,2151073.6399999997,6046.04,0.0,0.0,0.0,0.0,6046.04,0.281863039897482,0.0877,68940.0228050171
1004770011,400000.0,10620000.0,11053886.39,379721.81,30079.32,70221.42,70221.42,54164.58,433886.39,4.08555922787194,0.0877,4947393.2725199545
1006270043,181468.0,4817975.399999999,4898228.056,78205.16,0.0,0.0,20474.96,2047.4959999999999,80252.656,1.6656925230460913,0.0877,915081.5963511973
1005980042,266467.0,7074698.849999999,7107945.6099999985,33246.76,0.0,0.0,0.0,0.0,33246.76,0.4699388723804125,0.0877,379096.4652223489
1005220010,117603.0,2836584.360000001,2869748.710000001,33164.35,0.0,0.0,0.0,0.0,33164.35,1.1691649459704414,0.0949,349466.2802950474
1005230044,57000.0,1374840.0,1409279.742,29560.2,0.0,8132.57,8132.57,4879.5419999999995,34439.742,2.505,0.0949,362905.60590094834
1004970018,103054.0,2485662.4800000004,2509060.1800000006,23397.7,0.0,0.0,0.0,0.0,23397.7,0.9413063997329194,0.0949,246551.10642781877
1000510013,181725.0,4383207.0,4383207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0949,0.0
1000350001,929884.0,22428802.080000002,23067361.916,563016.77,0.0,125905.11,125905.11,75543.066,638559.836,2.8470527927544134,0.0949,6728765.395152792
1005190070,308564.0,7442563.680000002,7530198.070000001,85730.78,0.0,0.0,19036.1,1903.61,87634.39,1.1774758506332321,0.0949,923439.3045310854
1001440040,799564.0,19285483.680000007,20998664.11800001,1393665.3,455748.57,228692.85,228692.85,319515.13800000004,1713180.438,8.88326404681596,0.0949,18052480.906217072
1005980058,750567.0,18103676.040000003,18492388.524000004,361905.85,0.0,35173.19,92200.39,26806.634000000002,388712.484,2.1471467073380084,0.0949,4096021.9599578506
1002260001,894013.0,21563593.560000002,21924175.245,350740.2,0.0,0.0,98414.85,9841.485,360581.685,1.672178081063776,0.0949,3799596.259220232
1005810001,930680.0,22448001.600000005,22448001.600000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0949,0.0
1000230019,240279.0,5795529.480000001,6586158.106000002,621543.38,205018.58,145129.69,145129.69,169085.24599999998,790628.6259999999,13.642043039008056,0.0949,8331176.248682823
1004260029,73150.0,1764378.0000000005,1771572.8700000006,7194.87,0.0,0.0,0.0,0.0,7194.87,0.4077850664653491,0.0949,75815.27924130663
1006020036,102764.0,2478667.6800000006,2503467.2190000005,23874.02,0.0,0.0,9255.19,925.519,24799.539,1.0005189158717718,0.0949,261322.8556375132
1005220012,111743.0,2695241.16,2719261.87,24020.71,0.0,0.0,0.0,0.0,24020.71,0.8912267427676118,0.0949,253116.01685985248
1000430005,108663.0,2620951.56,2739634.474,106579.78,0.0,20171.89,20171.89,12103.134,118682.914,4.528237599324422,0.0949,1250610.263435195
1005290072,87990.0,2122318.8000000003,2152501.5870000003,29202.16,0.0,0.0,9806.27,980.6270000000001,30182.787,1.4221608459577324,0.0949,318048.335089568
1004840024,61425.0,1481571.0,1518517.826,31117.52,0.0,9715.51,9715.51,5829.3060000000005,36946.826,2.4937600695477977,0.0949,389323.7723919916
