final_rank,bbl,address,total_score,core_score,bonus_score,cost_savings_score,bas_automation_score,ownership_score,complexity_score,energy_star_bonus,prestige_bonus,total_1yr,utility_savings_annual,Has Building Automation,owner_building_count,ownername,Class,LL33 grade,GreenRating,Latest_ENERGY_STAR_Score,energy_star_gap,total_10_year_savings,savings_per_sqft,odcv_rank
1.0,1000160125,225 Liberty St,103.35656836461126,97.35656836461126,6,39.35656836461126,28.0,20,10,2,4,1284794.88,1284794.88,yes,18.0,Brookfield,A,B,LEED Certified - Gold,78.0,16.0,10301921.842775453,0.5665067760177254,17.0
2.0,1000160120,200 Liberty St,102.42716711349419,97.42716711349419,5,38.42716711349419,30.0,20,9,0,5,808370.56,808370.56,yes,18.0,Brookfield,A,A,LEED Certified - Gold,91.0,7.0,6131062.655795883,0.5382398303990071,38.0
3.0,1009950005,"151 W 42nd St, New York, NY 10036",101.6058981233244,95.6058981233244,6,38.605898123324394,28.0,20,9,3,3,777757.04,777757.04,yes,12.0,Durst,A,D,LEED Certified - Gold,44.0,31.0,6373863.797679655,0.4854982562171617,41.0
4.0,1000160150,250 Vesey St,100.82037533512064,94.82037533512064,6,38.820375335120644,26.0,20,10,1,5,889681.79,889681.79,yes,18.0,Brookfield,A,A,LEED Certified - Gold,85.0,12.0,6943128.183013809,0.4268944651330396,34.0
5.0,1010160036,"1515 Broadway,  New York,  NY 10036",97.57015192135836,93.57015192135836,4,38.57015192135835,26.0,20,9,1,3,778226.81,778226.81,yes,29.0,SL Green,A,N (exempt),LEED Certified - Gold,58.0,11.0,6332747.038585662,0.3792389703105394,40.0
6.0,1012670001,"1290 Ave Of The Americas,  New York,  NY 10104",96.3923145665773,94.3923145665773,2,39.3923145665773,26.0,20,9,0,2,1313671.05,1313671.05,yes,36.0,Vornado,A,C,,60.0,-8.0,10656596.144504724,0.6840401435281879,15.0
7.0,1000940025,"100 Gold St,  New York,  NY 10038",96.10277033065236,93.10277033065236,3,35.10277033065237,28.0,20,10,0,3,340998.03,340998.03,yes,21.0,City of New York,A,B,,84.0,,2642834.2678912967,0.5199924211810454,135.0
8.0,1013010001,"245 Park Ave,  New York,  NY 10167",96.07059874888293,91.07059874888293,5,39.07059874888293,26.0,20,6,3,2,983830.6,983830.6,yes,29.0,SL Green,A,C,,58.0,24.0,7951066.908032633,0.617935526419094,27.0
9.0,1005540001,"770 Broadway,  New York,  NY 10001",95.38963360142985,91.38963360142985,4,36.38963360142985,28.0,20,7,0,4,412598.97,412598.97,yes,36.0,Vornado,A,B,LEED Certified - Gold,76.0,,3353561.2301470255,0.3785836111241098,109.0
10.0,1012770027,331 Madison Ave,94.5710455764075,93.5710455764075,1,39.571045576407506,28.0,16,10,0,1,1255603.13,1255603.13,yes,29.0,SL Green,B,,,45.0,,12293884.885761779,0.748213421447023,18.0
11.0,1005980058,345 Hudson St,94.35299374441465,89.35299374441465,5,35.352993744414654,28.0,20,6,3,2,361905.85,361905.85,yes,10.0,Trinity Church,B,,LEED Certified - Gold,77.0,23.0,2766361.005425357,0.4538135269104939,126.0
12.0,1010400029,"825 8 Ave,  New York,  NY 10019",93.92761394101876,90.92761394101876,3,38.92761394101877,26.0,20,6,0,3,955930.04,955930.04,yes,29.0,SL Green,A,B,,75.0,,7641614.591942013,0.6123787980994368,30.0
13.0,1008530002,1 Madison Ave,93.45933869526363,90.45933869526363,3,34.459338695263625,30.0,20,6,0,3,333612.34,333612.34,yes,29.0,SL Green,A,,LEED Certified - Gold,92.0,,2421699.921463283,0.27048318704323193,139.0
14.0,1013280001,"909 3 Ave,  New York,  NY 10022",92.7462019660411,88.7462019660411,4,35.746201966041106,26.0,20,7,0,4,406631.13,406631.13,yes,36.0,Vornado,A,A,,90.0,,2993791.6980833225,0.31805080132341557,110.0
15.0,1012940001,767 Fifth Ave,92.67828418230563,89.67828418230563,3,39.67828418230563,28.0,13,9,0,3,1651643.67,1651643.67,yes,7.0,Boston Properties (BXP),A,B,,75.0,,13431707.885683434,0.9050995002246797,8.0
16.0,1012890014,520 Madison Ave,92.67739052725648,88.67739052725648,4,38.67739052725648,28.0,18,4,0,4,816804.46,816804.46,yes,11.0,Tishman Speyer,A,B,LEED Certified - Silver,78.0,2.0,6433591.596005752,0.8045059771276496,36.0
17.0,1001210001,"1 Centre St,  New York,  NY 10013",92.03485254691688,90.03485254691688,2,39.03485254691689,24.0,20,7,0,2,960116.46,960116.46,yes,21.0,City of New York,A,N (exempt),,96.0,,7828646.968083557,0.9086848949460533,29.0
18.0,1013290001,"919 3 Ave,  New York,  NY 10022",92.03395889186774,90.03395889186774,2,38.03395889186774,28.0,20,4,0,2,639147.7,639147.7,yes,29.0,SL Green,A,N (exempt),,66.0,3.0,5186323.328782718,0.4474245084367982,56.0
19.0,1002260001,75 Varick St,91.88829311885613,87.88829311885613,4,34.88829311885612,28.0,20,5,0,4,350740.2,350740.2,yes,10.0,Trinity Church,B,A,LEED Certified - Silver,86.0,-17.0,2587768.968622594,0.3504787428578281,131.0
20.0,1012700071,"1775 Broadway,  New York,  NY 10019",91.20911528150134,86.20911528150134,5,34.20911528150134,28.0,20,4,1,4,293049.45,293049.45,yes,29.0,SL Green,A,B,LEED Certified - Gold,72.0,13.0,2383966.3328697556,0.5152880202563697,170.0
21.0,1005990064,"375 Hudson St,  New York,  NY 10014",90.9928507596068,85.9928507596068,5,31.992850759606792,26.0,20,8,0,5,238685.19,238685.19,yes,10.0,Trinity Church,A,A,LEED Certified - Gold,95.0,-20.0,1732621.478802159,0.22179257994134724,204.0
22.0,1012809010,200 Park Ave,90.92850759606792,85.92850759606792,5,39.92850759606792,28.0,8,10,2,3,2505759.6,2505759.6,yes,1.0,Irvine Office Properties,A,,LEED Certified - Silver,57.0,18.0,20461729.22181977,0.8139512810243127,3.0
23.0,1013070001,"375 Park Ave,  New York,  NY 10152",90.67649687220734,87.67649687220734,3,37.67649687220733,30.0,13,7,0,3,598526.78,598526.78,yes,8.0,RFR Realty,A,B,,74.0,,4854707.042823217,0.7255696770298676,65.0
24.0,1010220043,1633 Broadway,90.53529937444146,86.53529937444146,4,39.535299374441465,28.0,12,7,0,4,1504915.22,1504915.22,yes,9.0,Paramount Group,A,B,LEED Certified,73.0,2.0,12235192.675652107,0.6172595577055354,10.0
25.0,1002160001,388 Greenwich St,90.0,86.0,4,40.0,28.0,8,10,0,4,3649643.15,3649643.15,yes,1.0,Citigroup,A,B,LEED Certified - Platinum,82.0,,40495217.614778295,1.5502103395122688,1.0
26.0,1008690034,"90 Park Ave,  New York,  NY 10016",89.60500446827524,85.60500446827524,4,37.60500446827525,26.0,20,2,2,2,578897.7,578897.7,yes,36.0,Vornado,A,C,,67.0,16.0,4695840.29298359,0.6663079784625938,69.0
27.0,1009990029,"1185 Ave Of The Americas,  New York,  NY 10036",89.532618409294,86.532618409294,3,36.53261840929401,26.0,20,4,0,3,431107.61,431107.61,yes,29.0,SL Green,A,C,LEED Certified - Silver,67.0,-12.0,3501496.5470489846,0.4140058560963711,100.0
