id_building,energy_site_eui_post_odcv
ATL_8,45.8
ATL_13,41.2
ATL_24,34.8
ATL_27,40.7
ATL_36,54.8
ATL_42,41.3
ATL_45,38.6
ATL_47,48.4
ATL_49,49.9
ATL_52,52.0
ATL_55,138.7
ATL_65,151.8
ATL_66,208.6
ATL_67,219.7
ATL_68,149.3
ATL_73,202.7
ATL_95,79.2
ATL_105,31.4
ATL_125,54.0
ATL_130,123.0
ATL_144,78.7
ATL_179,49.9
ATL_180,55.4
ATL_181,104.7
ATL_183,155.4
ATL_184,51.9
ATL_185,189.8
ATL_186,98.6
ATL_190,92.6
ATL_193,123.0
ATL_194,51.9
ATL_197,65.3
ATL_198,389.5
ATL_199,459.7
ATL_200,122.0
ATL_202,378.7
ATL_203,113.9
ATL_206,85.5
ATL_208,70.9
ATL_211,142.8
ATL_215,71.4
ATL_220,62.5
ATL_230,188.3
ATL_232,91.3
ATL_237,102.3
ATL_239,43.3
ATL_240,353.1
ATL_241,305.3
ATL_242,207.4
ATL_245,82.5
ATL_248,432.1
ATL_249,99.3
ATL_251,51.4
ATL_254,97.0
ATL_256,197.2
ATL_261,34.5
ATL_263,52.9
ATL_271,52.4
ATL_278,18.3
ATL_280,62.5
ATL_281,26.4
ATL_300,218.1
ATL_316,41.0
ATL_319,87.2
ATL_321,47.8
ATL_339,45.8
ATL_347,114.8
ATL_353,39.7
ATL_354,38.9
ATL_356,141.0
ATL_357,59.1
ATL_359,83.9
ATL_365,72.0
ATL_371,215.3
ATL_373,84.8
ATL_383,41.6
ATL_402,39.5
ATL_407,5.9
ATL_408,11.2
ATL_413,7.3
ATL_414,9.1
ATL_417,90.7
ATL_418,8.9
ATL_421,30.9
ATL_439,65.0
ATL_450,76.1
ATL_454,85.1
ATL_458,134.5
ATL_466,12.0
ATL_468,6.0
ATL_470,10.2
ATL_472,27.9
ATL_475,52.0
ATL_479,24.4
ATL_489,84.7
ATL_493,45.1
ATL_494,53.4
ATL_500,10.7
ATL_501,110.4
ATL_502,33.5
ATL_507,101.9
ATL_508,30.8
ATL_514,35.9
ATL_516,7.6
ATL_517,11.7
ATL_520,48.1
ATL_524,56.5
ATL_525,7.0
ATL_526,57.2
ATL_530,11.1
ATL_531,35.6
ATL_532,45.8
ATL_534,37.6
ATL_536,34.2
ATL_537,74.0
ATL_538,32.6
ATL_539,32.9
ATL_540,62.1
ATL_541,39.8
ATL_542,32.8
ATL_543,52.5
ATL_544,36.3
ATL_545,28.4
ATL_574,35.4
ATL_576,46.9
ATL_579,44.6
ATL_580,93.6
ATL_581,51.1
ATL_583,46.1
ATL_586,54.9
ATL_587,47.0
ATL_589,40.6
ATL_592,65.6
ATL_595,37.7
ATL_596,67.3
ATL_598,15.2
ATL_599,7.2
ATL_600,14.5
ATL_601,56.7
ATL_606,34.3
ATL_607,41.9
ATL_608,29.2
ATL_609,45.3
ATL_610,133.0
ATL_611,31.6
ATL_615,56.9
ATL_619,22.5
ATL_620,7.9
ATL_627,54.2
