zip_idx,portfolio_idx,leed_idx,portfolio_address,leed_address,distance_m,leed_certification_level,leed_certification_date,leed_rating_system,leed_project_url,leed_project_id
0,15678,11476,"540 West 25 Street, New York, NY, 10001","540 W 25th Street, New York, NY 10001.0",0,Silver,2022-03-16,New Construction,https://www.usgbc.org/projects/pace-gallery,1000063071
0,15717,9357,"303 9Th Ave, New York, NY, 10001","303 9th Ave, New York, NY 10001.0",0,Gold,2018-12-07,Commercial Interiors,https://www.usgbc.org/projects/city-new-york-chelsea-health-clinic,10415972
0,15728,8911,"441 9Th Ave, New York, NY, 10001","441 Ninth Avenue, New York, NY 10001.0",0,Platinum,2020-04-08,Core and Shell,https://www.usgbc.org/projects/441-ninth-avenue,1000074702
0,15723,11412,"450 West 33Rd Street, New York, NY, 10001","450 West 33rd Street, New York, NY 10001.0",0,Certified,2020-02-07,Core and Shell,https://www.usgbc.org/projects/5-manhattan-west,1000037139
0,15724,11935,"460 W 34 St,  New York,  NY 10001","460 West 34th Street, New York, NY 10001.0",0,Silver,2025-06-06,Core and Shell,https://www.usgbc.org/projects/460-west-34th-street,1000123758
0,15746,9289,"440 9 Ave,  New York,  NY 10001","440 9th Avenue, New York, NY 10001.0",0,Certified,2014-01-02,Existing Buildings,https://www.usgbc.org/projects/440-9th-avenue,10517216
0,15739,9607,"350 West 31 Street, New York, NY, 10001","21 Penn Plaza, New York, NY 10001.0",11,Certified,2018-08-20,Commercial Interiors,https://www.usgbc.org/projects/langan-nyc-office-renovation,1000049041
0,15741,10417,"325 West 33 St, New York, NY, 10001","325 W 33rd Street, New York, NY 10001.0",0,Silver,2015-03-15,New Construction,https://www.usgbc.org/projects/fairfield-inn-and-suites,1000013203
0,15743,12163,"330 W 34 St,  New York,  NY 10001","330 West 34th Street, New York, NY 10001.0",0,Silver,2018-02-15,Core and Shell,https://www.usgbc.org/projects/330-west-34th-street-renovation,1000038510
0,15810,9258,"207 W 25 Street, New York, NY, 10001","207 West 25th Street, New York, NY 10001.0",0,Platinum,2010-05-18,Commercial Interiors,https://www.usgbc.org/projects/democracy-now-studio,10319665
0,15939,10756,"112 W 25Th St, New York, NY 10001","112 West 25th St, New York, NY 10001.0",0,Certified,2023-01-31,New Construction,https://www.usgbc.org/projects/112-west-25th-st,1000051610
0,15951,11160,"119-125 W 25 St,  New York,  NY 10001","125 West 25th Street, New York, NY 10001.0",0,Gold,2018-05-03,Core and Shell,https://www.usgbc.org/projects/125-west-25th-street,1000037912
