portfolio_idx,id_building,loc_address,leed_project_url,extracted_name
1,ATL_10,"1201 Peachtree St NE, Atlanta, GA, 30361",https://www.usgbc.org/projects/lord-aeck-sargent-atlanta-relocation,Lord Aeck Sargent Atlanta Relocation
4,ATL_105,"999 Peachtree St NE, Atlanta, GA, 30309",https://www.usgbc.org/projects/999-peachtree-street-0,999 Peachtree Street
93,ATL_27,"75 5Th St NW, Atlanta, GA, 30308",https://www.usgbc.org/projects/centergy-one,Centergy One
107,ATL_294,"121 Baker St NW, Atlanta, GA, 30313",https://www.usgbc.org/projects/new-world-coca-cola,New World Coca Cola
212,ATL_434,"260 Peachtree St, Atlanta, GA, 30303",https://www.usgbc.org/projects/amli-atlanta-corporate-office-0,Amli Atlanta Corporate Office
218,ATL_44,"3565 Piedmont Rd NE, Atlanta, GA, 30305",https://www.usgbc.org/projects/commons-piedmont-center-b-1-4,Commons Piedmont Center B 1
222,ATL_449,"3715 Northside Pkwy NW, Atlanta, GA, 30327",https://www.usgbc.org/projects/northcreek-recertification-0,Northcreek
340,ATL_615,"780 Johnson Ferry Rd, Atlanta, GA, 30342",https://www.usgbc.org/projects/centrum-glenridge,Centrum Glenridge
382,ATL_97,"3348 Peachtree Rd NE, Atlanta, GA, 30326",https://www.usgbc.org/projects/3348-peachtree,3348 Peachtree
1546,CA_10173606,"4175 East Conant Street, Long Beach, CA, 90808",https://www.usgbc.org/projects/douglas-park-shell-building-0,Douglas Park Shell Building
1551,CA_1024317,"800 North Brand Boulevard, Glendale, CA, 91203",https://www.usgbc.org/projects/800-north-brand-boulevard,800 North Brand Boulevard
1554,CA_1032937,"Market Street, San Francisco, CA, 94105",https://www.usgbc.org/projects/pg-and-e-general-office,Pg And E General Office
1564,CA_1046744,"2040 Main Street, Irvine, CA, 92614",https://www.usgbc.org/projects/2040-main-st-irvine-ca-transwestern,2040 Main St Irvine Ca Transwestern
1565,CA_1047559,"2030 Main Street, Irvine, CA, 92614",https://www.usgbc.org/projects/2030-main-recertification,2030 Main
1575,CA_1052236,"180 Grand Avenue, Oakland, CA, 94610",https://www.usgbc.org/projects/180-grand-0,180 Grand
1576,CA_1053926,"9595 Wilshire Boulevard, Beverly Hills, CA, 90212",https://www.usgbc.org/projects/9595-wilshire-recert,9595 Wilshire Recert
1578,CA_10543002,"599 Castro Street, Mountain View, CA, 94041",https://www.usgbc.org/projects/110027-mountain-view,110027 Mountain View
1582,CA_10545910,"1400 Page Mill Rd, Palo Alto, CA, 94304",https://www.usgbc.org/projects/hanover-page-mill-1400-page-mill,Hanover Page Mill 1400 Page Mill
1594,CA_1058317,"3200 Park Center Drive, Costa Mesa, CA, 92626",https://www.usgbc.org/projects/3200-park-center,3200 Park Center
1595,CA_1058320,"611 Anton Boulevard, Costa Mesa, CA, 92626",https://www.usgbc.org/projects/611-anton-blvd,611 Anton Blvd
1596,CA_1059351,"8910 University Center Lane, San Diego, CA, 92122",https://www.usgbc.org/projects/costar-san-diego,Costar San Diego
1622,CA_10857768,"9605 Scranton Road, San Diego, CA, 92121",https://www.usgbc.org/projects/park,Park
1702,CA_11227991,"1111 Jackson Street, Oakland, CA, 94607",https://www.usgbc.org/projects/1111-jackson-street-ti,1111 Jackson Street Ti
1712,CA_1125706,"6230 Stoneridge Mall Road, Pleasanton, CA, 94588",https://www.usgbc.org/projects/workday-pcc-5th-flr,Workday Pcc 5Th Flr
1720,CA_1131179,"1111 Franklin Street, Oakland, CA, 94607",https://www.usgbc.org/projects/uc-office-president-1,Uc Office President
1752,CA_1158729,"500 Newport Center Drive, Newport Beach, CA, 92660",https://www.usgbc.org/projects/500-newport-center-drive,500 Newport Center Drive
1753,CA_1158791,"550 Newport Center Drive, Newport Beach, CA, 92660",https://www.usgbc.org/projects/550-newport-center-drive,550 Newport Center Drive
