organization,row_count,logo_file,classification,acronym_needed,display_name,aws_logo_url,search_aliases,vertical,org_type,logo_url,org_url,primary_building_type
Marriott,521,Marriott.png,tenant,,Marriott,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Marriott.png,Courtyard|Fairfield|JW Marriott|Marriott|Marriott Hotels|Marriott International|Residence Inn|Ritz Carlton|Sheraton|SpringHill|St Regis|TownePlace|W Hotels|Westin,Commercial,,,https://www.marriott.com,Hotel
Hilton,347,Hilton.png,tenant,,Hilton,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Hilton.png,Conrad|DoubleTree|Embassy Suites|Hampton|Hampton Inn|Hilton|Hilton Garden|Hilton Hotels|Home2|Homewood|LXR|Tapestry|Tru|Waldorf,Commercial,,,https://www.hilton.com,Hotel
Target,301,Target.png,owner/occupier,,Target,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Target.png,Tar-jay|Target,Commercial,,,https://www.target.com,Retail Store
CBRE Group (CBRE),296,CBRE_Group_CBRE.png,property manager,,CBRE,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/CBRE_Group_CBRE.png,CB Richard Ellis|CBRE|CBRE Real Estate|CBRE Real Estate,Commercial,,,https://www.cbre.com,Office
Walmart,285,Walmart.png,owner/occupier,,Walmart,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Walmart.png,Sam's Club|Sams|Wal Mart|Wal-Mart|Walmart,Commercial,,,https://www.walmart.com,Wholesale Club
Cushman & Wakefield,265,Cushman_Wakefield.png,property manager,,Cushman & Wakefield,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Cushman_Wakefield.png,Cushman|Cushman Wakefield,Commercial,,,https://www.cushmanwakefield.com,Office
The Home Depot,230,The_Home_Depot.png,tenant,,Home Depot,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/The_Home_Depot.png,Home Depot|Home Depot,Commercial,,,https://www.homedepot.com,Retail Store
Chicago Public Schools,214,Chicago_Public_Schools.png,owner,,Chicago Public Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Chicago_Public_Schools.png,Chicago Schools|Chicago Schools|CPS,Education,,,https://www.cps.edu,K-12 School
General Services Administration (GSA),205,General_Services_Administration_GSA.png,owner/occupier,,GSA Federal,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/General_Services_Administration_GSA.png,General Services|GSA|GSA Federal|GSA Federal,Commercial,,,https://www.gsa.gov,Office
Jones Lang LaSalle (JLL),190,Jones_Lang_LaSalle_JLL.png,property manager,,JLL Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Jones_Lang_LaSalle_JLL.png,JL LaSalle|JLL|JLL Real Estate|JLL Real Estate|Jones Lang|Jones LaSalle,Commercial,,,https://www.jll.com,Office
Albertsons Companies,199,Albertsons_Companies.png,tenant,,Albertsons,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Albertsons_Companies.png,ACI|Acme|Albertsons|Albertsons|Jewel-Osco|Pavilions|Randalls|Safeway|Tom Thumb|Vons,Commercial,,,https://www.albertsonscompanies.com,Supermarket/Grocery
District of Columbia Public Schools,187,District_Of_Columbia_Public_Schools.png,owner,,DC Public Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/District_Of_Columbia_Public_Schools.png,District of Columbia Schools,Education,,,https://dcps.dc.gov,K-12 School
City of New York,184,City_Of_New_York.png,owner,,NYC Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/City_Of_New_York.png,,Commercial,,https://nyc-odcv-images.s3.us-east-2.amazonaws.com/logos/City_of_New_York.png,https://www.nyc.gov,Office
Harvard University,144,Harvard_University.png,owner/occupier,,Harvard,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Harvard_University.png,Crimson|Harvard|Harvard,Education,,,https://www.harvard.edu,Higher Ed
The Irvine Company,163,The_Irvine_Company.png,owner/operator,,Irvine Company,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/The_Irvine_Company.png,Irvine Company,Commercial,,,https://www.irvinecompany.com,Office
Kaiser Permanente,153,Kaiser_Permanente.png,owner/occupier,,Kaiser Permanente,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kaiser_Permanente.png,Kaiser Permanente,Healthcare,,,https://www.kaiserpermanente.org,Medical Office
Costco,146,Costco.png,owner/occupier,,Costco,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Costco.png,Costco|Costco Wholesale,Commercial,,,https://www.costco.com,Wholesale Club
Hines,138,Hines.png,owner/operator,,Hines Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Hines.png,Hines|Hines Interests,Commercial,,https://nyc-odcv-images.s3.us-east-2.amazonaws.com/logos/Hines.png,https://www.hines.com,Office
Newmark,134,Newmark.png,property manager,,Newmark Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Newmark.png,Newmark|Newmark Knight Frank,Commercial,,https://nyc-odcv-images.s3.us-east-2.amazonaws.com/logos/Newmark.png,https://www.nmrk.com,Office
InterContinental Hotels Group (IHG),137,InterContinental_Hotels_Group_IHG.png,tenant,,IHG Hotels,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/InterContinental_Hotels_Group_IHG.png,Candlewood|Crowne Plaza|Even Hotels|Holiday Inn|IHG|Ihg Hotels|IHG Hotels|InterContinental|Kimpton|Staybridge,Commercial,,,https://www.ihg.com,Hotel
Lincoln Property Company,132,Lincoln_Property_Company.png,property manager,,Lincoln Property,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Lincoln_Property_Company.png,Lincoln Property|Lincoln Property,Commercial,,,https://www.lpc.com,Office
Boston Properties (BXP),109,Boston_Properties_BXP.png,owner/operator,,Boston Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Boston_Properties_BXP.png,Boston Properties|Boston Properties,Commercial,,,https://www.bxp.com,Office
Douglas Emmett,103,Douglas_Emmett.png,owner/operator,,Douglas Emmett,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Douglas_Emmett.png,Douglas Emmett,Commercial,,,https://www.douglasemmett.com,Office
Hyatt,104,Hyatt.png,tenant,,Hyatt,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Hyatt.png,Alila|Andaz|Grand Hyatt|Hyatt|Hyatt Hotels|Hyatt House|Hyatt Place|Hyatt Regency|Park Hyatt|Joie De Vivre|JdV,Commercial,,,https://www.hyatt.com,Hotel
Kroger,105,Kroger.png,owner/occupier,,Kroger,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kroger.png,Fred Meyer|Fry's|Harris Teeter|King Soopers|Kroger|QFC|Ralphs|Smith's,Commercial,,,https://www.thekrogerco.com,Supermarket/Grocery
Kilroy Realty,97,Kilroy_Realty.png,owner/operator,,Kilroy Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kilroy_Realty.png,Kilroy|Kilroy|Kilroy Realty,Commercial,,,https://www.kilroyrealty.com,Office
Macy's,97,Macy_s.png,owner/occupier,,Macy's,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Macy_s.png,Bloomies|Bloomingdales|Macy's|Macys,Commercial,,,https://www.macysinc.com,Retail Store
Massachusetts Institute of Technology,83,Massachusetts_Institute_Of_Technology.png,owner,Massachusetts Institute Of Technology (MIT),MIT,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Massachusetts_Institute_Of_Technology.png,Mass Tech|Massachusetts Tech|MIT|MIT,Education,,,https://www.mit.edu,Higher Ed
Brookfield,95,Brookfield.png,owner/operator,,Brookfield,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Brookfield.png,Brookfield|Brookfield Properties,Commercial,,https://nyc-odcv-images.s3.us-east-2.amazonaws.com/logos/Brookfield.png,https://www.brookfield.com,Office
District of Columbia,79,District_Of_Columbia.png,owner,,DC Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/District_Of_Columbia.png,,Commercial,,,https://dc.gov,Office
Seattle Public Schools,82,Seattle_Public_Schools.png,owner,,Seattle Public Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Seattle_Public_Schools.png,Seattle Schools|Seattle Schools,Education,,,https://www.seattleschools.org,K-12 School
Principal Real Estate Investors,79,Principal_Real_Estate_Investors.png,owner/operator,,Principal Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Principal_Real_Estate_Investors.png,PREI|Principal|Principal RE|Principal Real Estate|Principal Real Estate,Commercial,,,https://www.principalglobal.com,Office
Vornado Realty Trust,77,Vornado_Realty_Trust.png,owner/operator,,Vornado Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Vornado_Realty_Trust.png,VNO|Vornado|Vornado|Vornado Realty,Commercial,,,https://www.vno.com,Office
Wyndham,75,Wyndham.png,tenant,,Wyndham,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Wyndham.png,Baymont|Days Inn|Howard Johnson|La Quinta|Microtel|Ramada|Super 8|Travelodge|Wingate|Wyndham|Wyndham Hotels,Commercial,,,https://www.wyndhamhotels.com,Hotel
Colliers,67,Colliers.png,property manager,,Colliers Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Colliers.png,Colliers|Colliers International,Commercial,,https://nyc-odcv-images.s3.us-east-2.amazonaws.com/logos/Colliers.png,https://www.colliers.com,Office
Tishman Speyer,64,Tishman_Speyer.png,owner/operator,,Tishman Speyer,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Tishman_Speyer.png,Speyer|Tishman,Commercial,,https://nyc-odcv-images.s3.us-east-2.amazonaws.com/logos/Tishman_Speyer.png,https://www.tishmanspeyer.com,Office
Long Beach Unified School District,67,Long_Beach_Unified_School_District.png,owner,,Long Beach Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Long_Beach_Unified_School_District.png,Long Beach Schools|Long Beach Schools|Long Beach Usd,Education,,,https://www.lbusd.org,K-12 School
Residence Inn,65,Residence_Inn.png,tenant_sub_org,,Residence Inn,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Residence_Inn.png,,Commercial,,,https://www.marriott.com/residence-inn,Hotel
Hudson Pacific Properties,63,Hudson_Pacific_Properties.png,owner/operator,,Hudson Pacific,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Hudson_Pacific_Properties.png,HPP|Hudson Pacific|Hudson Pacific,Commercial,,,https://www.hudsonpacificproperties.com,Office
Courtyard,63,Courtyard.png,tenant_sub_org,,Courtyard,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Courtyard.png,,Commercial,,,https://www.marriott.com/courtyard,Hotel
Ross Stores,37,Ross_Stores.png,tenant,,Ross Stores,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Ross_Stores.png,DD's|Ross Dress for Less|ROST,Commercial,,,https://www.rossstores.com,Retail Store
San Diego Unified School District,63,San_Diego_Unified_School_District.png,owner,,SD Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/San_Diego_Unified_School_District.png,San Diego Schools|San Diego Schools|San Diego Usd|SD Schools|SDUSD,Education,,,https://www.sandiegounified.org,K-12 School
Extended Stay America,55,Extended_Stay_America.png,tenant,,Extended Stay America,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Extended_Stay_America.png,ESA|Extended Stay,Commercial,,,https://www.extendedstayamerica.com,Hotel
Lowe's,55,Lowe_s.png,tenant,,Lowe's,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Lowe_s.png,Lowe's|Lowes,Commercial,,,https://www.lowes.com,Retail Store
Jcpenney,56,Jcpenney.png,owner/occupier,,JCPenney,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Jcpenney.png,JCP|JCPenney|Penney's|Penneys,Commercial,,,https://www.jcpenney.com,Retail Store
Boston University,40,Boston_University.png,owner/occupier,Boston University (BU),Boston University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Boston_University.png,Boston U|Bu|BU|Commonwealth Ave|Terriers,Education,,,https://www.bu.edu,Higher Ed
Fresno Unified School District,54,Fresno_Unified_School_District.png,owner,,Fresno Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Fresno_Unified_School_District.png,Fresno Schools|Fresno Schools|Fresno Usd,Education,,,https://www.fresnounified.org,K-12 School
Ventas,52,Ventas.png,owner/operator,,Ventas Healthcare REIT,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Ventas.png,Healthcare REIT|Ventas|Ventas Healthcare REIT|Ventas Healthcare REIT|VTR,Healthcare,,,https://www.ventasreit.com,Residential Care
SL Green,52,SL_Green.png,owner/operator,,SL Green,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/SL_Green.png,Green Realty|SL Green|SLG,Commercial,,https://nyc-odcv-images.s3.us-east-2.amazonaws.com/logos/SL_Green.png,https://www.slgreen.com,Office
New York University (NYU),49,New_York_University_NYU.png,owner/occupier,,NYU,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/New_York_University_NYU.png,Greenwich Village|New York U|Nyu|NYU|Violet|Violets|Washington Square,Education,,,https://www.nyu.edu,Higher Ed
Kohl's,50,Kohl_s.png,owner/occupier,,Kohl's,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kohl_s.png,Kohl's|Kohls|KSS,Commercial,,,https://www.kohls.com,Retail Store
State of California,60,State_of_California.png,owner,,CA State Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/State_of_California.png,Cali|Golden State|West Coast,Commercial,,,https://www.ca.gov,Office
Welltower,48,Welltower.png,owner/operator,,Welltower Senior REIT,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Welltower.png,Senior REIT|Welltower|Welltower Senior REIT|Welltower Senior REIT,Healthcare,,,https://www.welltower.com,Residential Care
Kaufman Organization,45,Kaufman_Organization.png,owner,,Kaufman Org,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kaufman_Organization.png,,Commercial,,,https://www.kaufmanorganization.com,Office
GFP Real Estate,46,GFP_Real_Estate.png,owner/operator,,GFP Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/GFP_Real_Estate.png,GFP|GFP Real Estate,Commercial,,https://nyc-odcv-images.s3.us-east-2.amazonaws.com/logos/GFP_Real_Estate.png,https://www.gfpre.com,Office
Google,47,Google.png,owner/occupier,,Google,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Google.png,Alphabet|GCP|GOOG|GOOGL|Google|Google Cloud|YouTube,Commercial,,,https://www.google.com,Office
Sutter Health,45,Sutter_Health.png,tenant,,Sutter Health,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Sutter_Health.png,Sutter|Sutter Health,Healthcare,,,https://www.sutterhealth.org,Inpatient Hospital
