utility_name,logo_file,aws_logo_url
PG&E,PGE.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/PGE.png
SoCal Edison,SCE.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/SCE.png
Pepco,Potomac_Electric_Power_Company.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Potomac_Electric_Power_Company.png?v=20251217230247
LADWP,LADWP.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/LADWP.png
SDG&E,SDGE.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/SDGE.png
ComEd,ComEd.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/ComEd.png
Eversource,NSTAR.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/NSTAR.png
Xcel Energy,Xcel_Energy.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/Xcel_Energy.png
Seattle City Light,Seattle_City_Light.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/Seattle_City_Light.png
PECO,PECO.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/PECO.png
Portland General,PGE_Portland.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/PGE_Portland.png
SMUD,SMUD.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/SMUD.png
Georgia Power,Georgia_Power.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/Georgia_Power.png
Evergy,Evergy.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/Evergy.png
PSE,Puget_Sound_Energy.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/Puget_Sound_Energy.png
Ameren,Ameren.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/Ameren.png
Duke Energy,Duke_Energy.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/Duke_Energy.png
Glendale Water & Power,Glendale_WP.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/Glendale_WP.png
Pasadena Water & Power,Pasadena_WP.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/Pasadena_WP.png
Burbank Water & Power,Burbank_WP.png,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/utilities/Burbank_WP.png
